x,y,z,signal,mito.p
8,873,1,0.127040291542007,1
8,874,1,0.142532658506083,1
8,875,1,0.113421201651414,1
8,885,1,0.11368265349426,1
9,874,1,0.199766691238953,1
9,886,1,0.21400277784992,1
9,887,1,0.218273629976216,1
10,885,1,0.226423581288383,1
10,886,1,0.294775384698078,2
10,887,1,0.284244502713395,2
10,888,1,0.211191424374381,1
11,885,1,0.242805311520559,1
11,886,1,0.287018123117374,2
11,887,1,0.257033838445711,2
11,888,1,0.18947948385324,1
12,885,1,0.195414665079957,1
12,886,1,0.202679218146555,1
12,887,1,0.173999763568171,1
8,873,2,0.159945142095524,1
8,874,2,0.189888861536675,1
8,875,2,0.139175417285675,1
8,884,2,0.0998466529067847,1
8,885,2,0.123108481520892,1
8,886,2,0.147927267732424,1
8,887,2,0.154320517990693,1
9,873,2,0.211501545779505,1
9,874,2,0.295327023904201,3
9,875,2,0.239474997596022,1
9,885,2,0.194163460827121,1
9,886,2,0.275672537931705,2
9,887,2,0.290678165701311,2
9,888,2,0.212833096203194,1
9,891,2,0.208995912969797,1
10,874,2,0.267244751826454,3
10,875,2,0.259040118060697,3
10,884,2,0.175974704255074,1
10,885,2,0.280839463364231,2
10,886,2,0.399482784698755,2
10,887,2,0.386936189831196,2
10,888,2,0.264041710768004,2
10,889,2,0.189090563071765,1
10,890,2,0.208435363355898,1
10,891,2,0.215877558146232,1
11,884,2,0.201691709677887,1
11,885,2,0.304493284562982,2
11,886,2,0.373616764143448,2
11,887,2,0.331367292274756,2
11,888,2,0.233030398117389,2
11,889,2,0.173949383817602,1
12,884,2,0.195665834007226,1
12,885,2,0.243246191525863,1
12,886,2,0.246618617475416,2
12,887,2,0.208558649413615,2
12,888,2,0.164429669721747,1
13,885,2,0.139872651247712,1
13,886,2,0.132339304510835,1
13,887,2,0.118913563933238,1
8,872,3,0.104282957580409,1
8,873,3,0.176184708841284,1
8,874,3,0.218446173813841,3
8,875,3,0.152283465879413,1
8,884,3,0.102192170699495,1
8,885,3,0.131176191294292,1
8,886,3,0.168502412329427,2
8,887,3,0.180229914149625,2
8,888,3,0.14172166979049,1
8,891,3,0.164980993033218,1
9,872,3,0.123543925959594,1
9,873,3,0.2562853641925,3
9,874,3,0.374896072127412,3
9,875,3,0.286328034910227,3
9,876,3,0.156277801255829,1
9,877,3,0.106281459651199,1
9,884,3,0.153140379141687,1
9,885,3,0.222466554159686,2
9,886,3,0.350094551192561,2
9,887,3,0.376041222920455,2
9,888,3,0.248882710698288,2
9,889,3,0.17041697356608,1
9,890,3,0.207058977677432,1
9,891,3,0.243134648034874,1
9,892,3,0.214358126654907,1
10,873,3,0.213771303320279,3
10,874,3,0.355799891827493,3
10,875,3,0.325957629034299,3
10,876,3,0.188128849035389,3
10,884,3,0.194973567216271,2
10,885,3,0.323622775409331,2
10,886,3,0.499740340127438,2
10,887,3,0.490236224691651,2
10,888,3,0.30334743662312,2
10,889,3,0.205645904647633,2
10,890,3,0.24655615747763,1
10,891,3,0.253172952220478,1
10,892,3,0.204014798950289,1
11,874,3,0.225478337345597,3
11,875,3,0.230396599222233,3
11,883,3,0.146071484686921,1
11,884,3,0.221809754713132,2
11,885,3,0.332156157471775,2
11,886,3,0.423662450671337,2
11,887,3,0.382433013527573,2
11,888,3,0.255295633568347,2
11,889,3,0.18525074375196,1
11,890,3,0.202773964756382,1
11,891,3,0.186992020432494,1
12,884,3,0.207654166773885,1
12,885,3,0.249090721880313,2
12,886,3,0.251525441787058,2
12,887,3,0.221302841832595,2
12,888,3,0.175957493442987,1
13,885,3,0.138936099854323,1
13,886,3,0.128852677198046,1
13,887,3,0.1193167217599,1
8,872,4,0.100600715227464,1
8,873,4,0.168906408910855,1
8,874,4,0.216492942714589,3
8,875,4,0.14924055073088,3
8,885,4,0.127769006040076,1
8,886,4,0.174800414903593,2
8,887,4,0.19151277790745,2
8,888,4,0.146974910713504,1
8,890,4,0.161697627589752,1
8,891,4,0.187299745395429,1
8,892,4,0.179925304561536,1
9,872,4,0.125050895951535,1
9,873,4,0.279786532023797,3
9,874,4,0.426687196430909,3
9,875,4,0.31356146537871,3
9,876,4,0.156297517439295,3
9,882,4,0.104640822649694,1
9,883,4,0.132557936288926,1
9,884,4,0.159490537012227,1
9,885,4,0.242619783323436,2
9,886,4,0.406469720830649,2
9,887,4,0.444922160765532,2
9,888,4,0.278866254651456,2
9,889,4,0.194367158413206,1
9,890,4,0.248123060310139,2
9,891,4,0.280715850518943,2
9,892,4,0.260242478464549,1
9,893,4,0.182120728822767,1
10,872,4,0.120643457513372,1
10,873,4,0.271486302000527,3
10,874,4,0.45926499798311,3
10,875,4,0.387171869027587,3
10,876,4,0.194274350742968,3
10,883,4,0.174943515181047,1
10,884,4,0.228744295904434,2
10,885,4,0.362842098630606,2
10,886,4,0.578077159562785,2
10,887,4,0.58432333362815,2
10,888,4,0.348244192820742,2
10,889,4,0.229951667051045,2
10,890,4,0.284556693773138,2
10,891,4,0.285490413007577,2
10,892,4,0.23568129889544,1
10,893,4,0.151578748481994,1
11,873,4,0.189856749211339,1
11,874,4,0.306709514299583,3
11,875,4,0.278971545606915,3
