x,y,z,signal,mito.p
158,371,20,0.115414268155603,1
159,372,20,0.134334092096232,1
157,369,21,0.106165635243026,1
158,370,21,0.102209065616929,1
158,371,21,0.112771504388076,1
159,371,21,0.123981178622858,1
159,372,21,0.141443704282377,1
160,372,21,0.114174033072242,1
160,373,21,0.113808052778271,1
160,374,21,0.11022581831505,1
161,377,21,0.119829309851257,1
161,378,21,0.120983392837915,1
154,367,22,0.12854302418844,1
155,367,22,0.101916852170709,1
155,368,22,0.118022523155605,1
156,368,22,0.100246194284325,1
156,369,22,0.145745111046586,1
157,369,22,0.11346366224984,1
157,370,22,0.112796046134677,1
158,370,22,0.106513380790522,1
158,371,22,0.115004236897025,1
158,372,22,0.108927839867848,1
159,371,22,0.126816202411475,1
159,372,22,0.149548667838901,1
159,373,22,0.129341921763897,1
160,371,22,0.103184559195894,1
160,372,22,0.134296685812242,1
160,373,22,0.131311612063821,1
160,374,22,0.103320753362675,1
161,377,22,0.105387477785426,1
161,378,22,0.108067179441424,1
161,379,22,0.11721235140894,1
162,380,22,0.12009249366823,1
162,381,22,0.15795055058267,1
162,382,22,0.161787537743524,1
162,383,22,0.120752593669254,1
149,370,23,0.101737729009983,1
152,371,23,0.113158366407851,1
154,367,23,0.116699153314116,1
154,368,23,0.108814509938136,1
155,367,23,0.111430433553144,1
155,368,23,0.117536328607086,1
155,369,23,0.15425529119147,1
156,369,23,0.142369591508025,1
156,370,23,0.120062941178869,1
157,369,23,0.113131036073975,1
157,370,23,0.119546377172061,1
158,370,23,0.110768732293021,1
158,371,23,0.115107806771276,1
159,371,23,0.12562002918564,1
159,372,23,0.144365174276512,1
159,373,23,0.114011173039646,1
160,371,23,0.103159766912154,1
160,372,23,0.151495809796408,1
160,373,23,0.146828248451523,1
161,373,23,0.110864110692152,1
161,374,23,0.100510543643635,1
161,379,23,0.112564571605036,1
161,380,23,0.134550512611758,1
161,381,23,0.159305749533599,1
161,382,23,0.155549217472788,1
161,383,23,0.118001107676769,1
162,379,23,0.121636031189395,1
162,380,23,0.155413317414821,1
162,381,23,0.18949630252024,1
162,382,23,0.178604309376398,1
162,383,23,0.125736354668089,1
163,380,23,0.106018962088126,1
163,381,23,0.114720007960464,1
163,382,23,0.103545550532944,1
149,370,24,0.101580010435175,1
149,371,24,0.117791331841859,1
151,371,24,0.107483079336556,1
151,372,24,0.105352936339143,1
152,370,24,0.12302140352607,1
152,371,24,0.124200017366411,1
153,369,24,0.114665684973201,1
153,370,24,0.141346920696689,1
153,371,24,0.106732905787974,1
154,367,24,0.103522566473766,1
154,368,24,0.104639700679033,1
154,369,24,0.131605415876221,1
154,370,24,0.133777289646483,1
155,367,24,0.1175377664724,1
155,368,24,0.114290739806858,1
155,369,24,0.133504999349191,1
155,370,24,0.117285878612474,1
