x,y,z,signal,mito.p
63,682,41,0.210678433245018,1
57,682,42,0.213871997463902,1
62,682,42,0.227437515978646,1
63,681,42,0.191333850819267,1
63,682,42,0.23891982908413,1
63,683,42,0.216326912842551,1
64,681,42,0.224203037955841,1
64,682,42,0.218113090135376,1
40,692,43,0.207511491320273,1
51,706,43,0.201031446283077,1
56,682,43,0.221889076949595,1
57,681,43,0.221836965224898,1
57,682,43,0.240322357768296,1
57,683,43,0.206943055232987,1
58,681,43,0.215497329914153,1
58,682,43,0.21368078316304,1
61,682,43,0.186872437967251,1
62,681,43,0.195269832828375,1
62,682,43,0.23976143779515,1
62,683,43,0.212716389468579,1
63,681,43,0.218651657838648,1
63,682,43,0.260055577759627,1
63,683,43,0.229031563965409,1
64,681,43,0.236614952772365,1
64,682,43,0.226523730786054,1
64,683,43,0.203025024754461,1
65,682,43,0.175833423095099,1
39,692,44,0.173756535578883,1
40,691,44,0.17520647024672,1
40,692,44,0.211388259421469,1
40,693,44,0.195014655306898,1
41,692,44,0.205999358084706,1
50,706,44,0.173319598810272,1
51,705,44,0.181687713505011,1
51,706,44,0.20644012916082,1
51,707,44,0.167747369646033,1
52,706,44,0.19508057925294,1
54,682,44,0.197364345087601,1
54,705,44,0.185542739339799,1
55,681,44,0.197706186672976,1
55,682,44,0.214916911615922,1
56,681,44,0.215947752116538,1
56,682,44,0.23427676591417,1
56,683,44,0.204447051763712,1
57,680,44,0.189694117930042,1
57,681,44,0.236332172594036,1
57,682,44,0.247762439332336,1
57,683,44,0.207642598493862,1
58,680,44,0.219402724606591,1
58,681,44,0.243224906762055,1
58,682,44,0.2402875222132,1
58,683,44,0.201337973024918,1
59,680,44,0.221612636450148,1
59,681,44,0.215271737560794,1
59,682,44,0.201542912403773,1
61,682,44,0.180703451126217,1
61,683,44,0.175122572984259,1
62,681,44,0.216746660584914,1
62,682,44,0.238023646848709,1
62,683,44,0.214974970874415,1
63,680,44,0.194197708164589,1
63,681,44,0.24676183757498,1
63,682,44,0.269289047728897,1
64,681,44,0.237995085614981,1
64,682,44,0.231345524971654,1
64,683,44,0.220051332578026,1
65,682,44,0.185172728665782,1
65,683,44,0.160907335420338,1
39,692,45,0.176848545113539,1
39,693,45,0.180563694974909,1
