x,y,z,signal,cytoplasm.p
249,720,15,0.0638025389945562,1
250,720,15,0.0713843309236405,1
248,720,16,0.0596713101663285,1
249,719,16,0.0722026016719184,1
249,720,16,0.0743817675016132,1
249,721,16,0.0678591067055909,1
250,719,16,0.0845456865416711,1
250,720,16,0.0825941955460106,1
250,721,16,0.0741432599946239,1
251,720,16,0.0841838740855856,1
248,719,17,0.0657716264497147,1
248,720,17,0.0719959199329957,1
248,721,17,0.0703710248866774,1
249,718,17,0.0752518369429978,1
249,719,17,0.0843176519944903,1
249,720,17,0.0973172015628675,1
249,721,17,0.0929036686778209,1
249,722,17,0.0691967324742802,1
250,719,17,0.0962823422217941,1
250,720,17,0.105311897008725,1
250,721,17,0.0973196252039043,1
250,722,17,0.0726434094937664,1
251,720,17,0.095142859427499,1
251,721,17,0.0832271137758766,1
248,719,18,0.0780961005868348,1
248,720,18,0.0937889993917192,1
248,721,18,0.0955853655671537,1
249,718,18,0.0867746461059507,1
249,719,18,0.105891848951992,1
249,720,18,0.132851181694248,1
249,721,18,0.131422601571906,1
249,722,18,0.0915266159894923,1
250,718,18,0.0985425732420783,1
250,719,18,0.114330625019637,1
250,720,18,0.135982148509778,1
250,721,18,0.128785184781223,1
250,722,18,0.0899645056295933,1
251,719,18,0.107171378099041,1
251,720,18,0.106511829302455,1
251,721,18,0.0942218994212793,1
246,708,19,0.0604587576258008,1
246,709,19,0.0610532573122253,1
247,707,19,0.0619368838113799,1
248,706,19,0.064545116661696,1
248,712,19,0.070611696569483,1
248,713,19,0.0717930829968856,1
248,718,19,0.076731478641342,1
248,719,19,0.0848547626916941,1
248,720,19,0.103314321451745,1
248,721,19,0.110330709180719,1
249,717,19,0.0848853854846475,1
249,718,19,0.0983965768800638,1
249,719,19,0.118848386263138,1
249,720,19,0.151804738646344,1
249,721,19,0.158361460149492,1
249,722,19,0.108215466146252,1
250,716,19,0.0871090967751492,1
250,717,19,0.0922689931607798,1
250,718,19,0.102318281645817,1
250,719,19,0.122394815866025,1
250,720,19,0.151376915879394,1
250,721,19,0.150186748913053,1
250,722,19,0.102116512055273,1
251,718,19,0.104083116900027,1
251,719,19,0.105986907573677,1
251,720,19,0.111914414123286,1
251,721,19,0.102418034229218,1
252,719,19,0.105506885121915,1
246,708,20,0.0594080296277202,1
246,709,20,0.0572730672364963,1
247,707,20,0.0582093887631557,1
247,708,20,0.0625822327840816,1
247,709,20,0.0622172241882348,1
247,710,20,0.05919926037316,1
247,711,20,0.0568467304976269,1
247,720,20,0.0584335490228398,1
247,721,20,0.0585624914435447,1
248,704,20,0.0605785362066732,1
248,705,20,0.0605240426134356,1
248,706,20,0.0607379480999739,1
248,707,20,0.0615122748750015,1
248,708,20,0.0646960369659628,1
248,709,20,0.0669579368193697,1
248,710,20,0.0665646583083641,1
248,711,20,0.0640699120073239,1
248,712,20,0.0634764148001604,1
248,713,20,0.0646029833027998,1
248,714,20,0.0629594893177225,1
248,715,20,0.0581769674044694,1
248,716,20,0.0594028992926789,1
248,717,20,0.0693663814499162,1
248,718,20,0.0787967982086144,1
248,719,20,0.0851926394811903,1
248,720,20,0.0983539302329158,1
248,721,20,0.105303723854279,1
248,722,20,0.0750303126140762,1
249,705,20,0.0681711254270915,1
249,706,20,0.0659438582836819,1
249,707,20,0.0654015111065739,1
249,708,20,0.0679676280340566,1
249,711,20,0.0693823444579125,1
249,712,20,0.0693771138749451,1
249,713,20,0.0736561553217307,1
249,714,20,0.0734855451453916,1
249,715,20,0.0681487406548883,1
249,716,20,0.0700891748939943,1
249,717,20,0.0858802635940198,1
249,718,20,0.103392974795171,1
249,719,20,0.11941304155227,1
249,720,20,0.145195192383082,1
249,721,20,0.15400534573835,1
249,722,20,0.10484978945105,1
250,706,20,0.078809405859555,1
250,714,20,0.0861582216083956,1
250,715,20,0.0836126260210782,1
250,716,20,0.0812265661627349,1
250,717,20,0.0882707048764271,1
250,718,20,0.0997754753096198,1
250,719,20,0.117522601543601,1
250,720,20,0.142582271467987,1
250,721,20,0.144005497171688,1
250,722,20,0.0972409423757938,1
251,717,20,0.0942017318973239,1
251,718,20,0.0931867157486803,1
251,719,20,0.0974000358345057,1
251,720,20,0.10572551995179,1
251,721,20,0.0984949259924993,1
251,722,20,0.0721654273821478,1
252,718,20,0.106107700427684,1
252,719,20,0.0915657716500375,1
252,720,20,0.0811687525940625,1
252,721,20,0.072025581525246,1
252,722,20,0.06458665468472,1
252,723,20,0.0584932790959817,1
253,719,20,0.0993488673116563,1
253,720,20,0.0826247652665326,1
253,721,20,0.075376969942511,1
253,722,20,0.0736786698265442,1
253,723,20,0.0707001977974139,1
253,724,20,0.0673812248418984,1
253,725,20,0.0612762971539118,1
254,720,20,0.0989803323475856,1
254,721,20,0.0911827125305568,1
254,722,20,0.087079122645247,1
254,723,20,0.0848938888675551,1
254,724,20,0.0848806030688792,1
254,725,20,0.0813876940646529,1
254,726,20,0.0703595376537343,1
254,727,20,0.0577131556320511,1
255,722,20,0.103476510802292,1
255,723,20,0.104555544097152,1
255,724,20,0.105904503778427,1
255,725,20,0.102194905933479,1
255,726,20,0.0901011376559233,1
255,727,20,0.0717881708485069,1
256,726,20,0.096965879757401,1
256,727,20,0.0778401853223261,1
256,728,20,0.0616158781581517,1
246,708,21,0.0579123246734536,1
247,708,21,0.0590848892833599,1
247,709,21,0.0579670128656065,1
248,708,21,0.0618622403849973,1
248,709,21,0.0656351890223001,1
248,710,21,0.0643793360766198,1
248,711,21,0.0596349319630299,1
248,712,21,0.0582028903387701,1
248,713,21,0.0587276410563801,1
248,714,21,0.0573211567563375,1
248,717,21,0.0646962492556886,1
248,718,21,0.076422125335288,1
248,719,21,0.0814113643690848,1
248,720,21,0.0857395096088463,1
248,721,21,0.0868042605227064,1
248,722,21,0.0632224809064262,1
249,704,21,0.063037240429814,1
249,705,21,0.06300018407878,1
249,706,21,0.0605776044906542,1
249,707,21,0.0613081347158521,1
249,708,21,0.0701374767035614,1
249,710,21,0.0754908221018702,1
249,711,21,0.0661403442188271,1
249,712,21,0.0635189199208244,1
249,713,21,0.0655483389366813,1
249,714,21,0.0656886978270873,1
249,715,21,0.0621318719245705,1
249,716,21,0.0649066401678768,1
249,717,21,0.0812420279311008,1
249,718,21,0.1004089242638,1
249,719,21,0.111183889795025,1
249,720,21,0.122624595906507,1
249,721,21,0.12479124843625,1
249,722,21,0.0874110671162932,1
250,705,21,0.0713049817416683,1
250,706,21,0.0705497728358407,1
250,707,21,0.0730192448656315,1
250,711,21,0.0763345853080602,1
250,712,21,0.0731340228440728,1
250,713,21,0.074776520246826,1
250,714,21,0.0768663297927496,1
250,715,21,0.0759652365667071,1
250,716,21,0.0748632111151504,1
250,717,21,0.0813684818444637,1
250,718,21,0.0929491635454573,1
250,719,21,0.105216861974787,1
250,720,21,0.118865157151479,1
250,721,21,0.116919793073184,1
250,722,21,0.081524526586835,1
251,706,21,0.0870718045466421,1
251,716,21,0.0958234308038808,1
251,717,21,0.0863258184500152,1
251,718,21,0.0840238430139178,1
251,719,21,0.0874963545136523,1
251,720,21,0.0933712014173783,1
251,721,21,0.0862777348271108,1
251,722,21,0.0650087043505147,1
252,717,21,0.103874660183118,1
252,718,21,0.0905462089630987,1
252,719,21,0.0790959026384594,1
252,720,21,0.0721990163343263,1
252,721,21,0.0653665599619879,1
252,722,21,0.0591624516934729,1
253,718,21,0.103836247536614,1
253,719,21,0.08596002556157,1
253,720,21,0.0739842019175329,1
253,721,21,0.0687214452627925,1
253,722,21,0.0663959056671261,1
253,723,21,0.0639193632100773,1
253,724,21,0.0622682739703642,1
253,725,21,0.05849237096771,1
254,701,21,0.0730205421917339,1
254,719,21,0.0980179463601417,1
254,720,21,0.0877429703087815,1
254,721,21,0.0823332501943866,1
254,722,21,0.0772248458611476,1
254,723,21,0.0749619140437957,1
254,724,21,0.0779678716954863,1
254,725,21,0.0803943668496667,1
254,726,21,0.074997130550539,1
254,727,21,0.0621933298002033,1
255,721,21,0.0964430750289445,1
255,722,21,0.0872196348560105,1
255,723,21,0.0858314192662644,1
255,724,21,0.0948340604335069,1
255,725,21,0.104996434476116,1
255,726,21,0.105374286600376,1
255,727,21,0.0866144440231149,1
255,728,21,0.0632134232114567,1
256,723,21,0.112987538687444,1
256,724,21,0.115641113085039,1
256,725,21,0.117432850165062,1
256,726,21,0.116042847803457,1
256,727,21,0.0953554027216298,1
256,728,21,0.070028943581222,1
257,724,21,0.134714189152788,1
257,725,21,0.112804084982691,1
257,726,21,0.0982667145372136,1
257,727,21,0.0807300971541572,1
257,728,21,0.065479757561359,1
231,697,22,0.0592439473604509,1
232,697,22,0.0570968018977381,1
240,689,22,0.0589097325687255,1
241,689,22,0.0569653532788809,1
246,692,22,0.0600366607845115,1
247,692,22,0.0653375470327888,1
247,693,22,0.0608314971058306,1
248,693,22,0.0724119724140352,1
248,694,22,0.0621660741581792,1
248,708,22,0.0592625993716413,1
248,709,22,0.0678271571018509,1
248,710,22,0.064466068223502,1
248,717,22,0.0568833150937146,1
248,718,22,0.0664285805940961,1
248,719,22,0.071604027202145,1
248,720,22,0.0699679102850409,1
248,721,22,0.0650304404596667,1
249,694,22,0.0811389199906442,1
249,695,22,0.0606364971987663,1
249,707,22,0.0569675410424445,1
249,708,22,0.0787335358703119,1
249,710,22,0.0883093769881522,1
249,711,22,0.0662651764745621,1
249,716,22,0.0581950474127874,1
249,717,22,0.0700924005184398,1
249,718,22,0.0849073751620832,1
249,719,22,0.0928904418485133,1
249,720,22,0.0920962423963717,1
249,721,22,0.085949399281404,1
249,722,22,0.063571343689235,1
250,694,22,0.102395944303856,1
250,695,22,0.0836973650033122,1
250,696,22,0.0754737563666868,1
250,697,22,0.0604949943026155,1
250,704,22,0.0603841083024813,1
250,705,22,0.0619961126448913,1
250,706,22,0.0610125920358519,1
250,707,22,0.0676330122506268,1
250,711,22,0.076429543681819,1
250,712,22,0.0653809249001035,1
250,713,22,0.0640996089811952,1
250,714,22,0.0651728043085945,1
250,715,22,0.0662032586378567,1
250,716,22,0.0670669240058449,1
250,717,22,0.0714787231914637,1
250,718,22,0.0790035330199685,1
250,719,22,0.0861748096916959,1
250,720,22,0.0879950407704777,1
250,721,22,0.0817142074568795,1
250,722,22,0.060843627104888,1
251,697,22,0.0850779263690541,1
251,698,22,0.0574783572983274,1
251,702,22,0.0599181559419941,1
251,703,22,0.0642119161431052,1
251,704,22,0.0656375536939686,1
251,705,22,0.0664889711241628,1
251,706,22,0.0706488649623167,1
251,707,22,0.0812038511620692,1
251,708,22,0.100456158727801,1
251,711,22,0.0847959171590766,1
251,712,22,0.0777562011480062,1
251,713,22,0.0775783967087356,1
251,714,22,0.0860664534774614,1
251,715,22,0.0910733715278718,1
251,716,22,0.0844581406175065,1
251,717,22,0.0763255394069644,1
251,718,22,0.0726580987634076,1
251,719,22,0.0739870383441477,1
251,720,22,0.0747147380396676,1
251,721,22,0.0675690540737785,1
252,698,22,0.0794375062920316,1
252,704,22,0.0755808506364399,1
252,705,22,0.0742033969564069,1
252,706,22,0.0835160872682492,1
252,716,22,0.115517513289101,1
252,717,22,0.0906056147047149,1
252,718,22,0.0766234054800753,1
252,719,22,0.0679981387852103,1
252,720,22,0.0628384252046214,1
252,721,22,0.0572014548356439,1
253,699,22,0.0705735610790092,1
253,701,22,0.0600138691236671,1
253,705,22,0.0835322035966031,1
253,717,22,0.10755025629031,1
253,718,22,0.087098028224721,1
253,719,22,0.0733233263101602,1
253,720,22,0.0652787368817923,1
253,721,22,0.0606945997173433,1
253,722,22,0.0577920920284453,1
254,699,22,0.0827143692216506,1
254,700,22,0.0641089615230061,1
254,701,22,0.0669930117996291,1
254,718,22,0.0982297525371689,1
254,719,22,0.0828702134681697,1
254,720,22,0.0751622565756271,1
254,721,22,0.0710648289893037,1
254,722,22,0.0665922441788506,1
254,723,22,0.0647447751488552,1
254,724,22,0.0687062429596471,1
254,725,22,0.0740784054833776,1
254,726,22,0.0739178436873952,1
254,727,22,0.0639250124755596,1
255,700,22,0.0669874332973888,1
255,701,22,0.0700669257513382,1
255,719,22,0.0952181633108064,1
255,720,22,0.0874258802216078,1
255,721,22,0.0814147610046984,1
255,722,22,0.073234040789631,1
