x,y,z,signal,mito.p
689,789,14,0.196150742765291,1
689,790,14,0.248561652096833,2
690,789,14,0.24033957389295,2
690,790,14,0.262847601344411,2
691,789,14,0.251442219277733,1
688,789,15,0.207610612625548,1
688,790,15,0.249331478536138,2
689,788,15,0.163735002150657,1
689,789,15,0.286551498803865,2
689,790,15,0.360595985851064,2
689,791,15,0.266288580050985,2
690,788,15,0.187895325053112,2
690,789,15,0.333399146700954,2
690,790,15,0.338516238228136,2
690,791,15,0.201567913912941,2
691,788,15,0.171124362112891,1
691,789,15,0.303052788043733,2
691,790,15,0.273404310777984,2
692,789,15,0.182047168923894,1
687,790,16,0.209259697961608,1
688,789,16,0.228684211640016,2
688,790,16,0.264938023380986,2
688,791,16,0.209017893348969,1
689,788,16,0.230673953892073,2
689,789,16,0.365443355586283,2
689,790,16,0.413309102856796,2
689,791,16,0.26037518765346,2
690,787,16,0.153286066014006,1
690,788,16,0.271976326616667,2
690,789,16,0.409144802297317,2
690,790,16,0.368267823904685,2
690,791,16,0.190071241948503,2
691,788,16,0.207589115676095,1
691,789,16,0.312793070268382,2
691,790,16,0.247957741710353,2
692,789,16,0.182694590194082,1
687,789,17,0.207233670590173,1
687,790,17,0.188774066965065,1
688,788,17,0.223351357106747,2
688,789,17,0.275782969876185,2
688,790,17,0.262927962423909,2
688,791,17,0.188524231053637,1
689,787,17,0.19557316253502,2
689,788,17,0.325201450943096,2
689,789,17,0.424084845525903,2
689,790,17,0.393212893668297,2
689,791,17,0.221973436310935,2
690,787,17,0.210809690536264,2
690,788,17,0.358187245451111,2
690,789,17,0.440337597327799,2
690,790,17,0.353346223808348,2
690,791,17,0.176142986069592,2
691,788,17,0.238011843809225,2
691,789,17,0.288245814298674,2
691,790,17,0.214486991411993,2
692,789,17,0.163008818846986,1
693,784,17,0.295684456137759,2
693,785,17,0.310274729090345,2
694,784,17,0.28661293583502,2
694,785,17,0.283504486562435,2
687,788,18,0.181907378637938,1
687,789,18,0.199685271675273,2
688,787,18,0.163315018124766,1
688,788,18,0.30393543739896,2
688,789,18,0.344068703096253,2
688,790,18,0.249646358349434,2
689,787,18,0.222043097007317,2
689,788,18,0.39441092779872,2
689,789,18,0.439525618592755,2
689,790,18,0.330130624506099,2
689,791,18,0.186763068221603,2
690,787,18,0.231399127271944,2
690,788,18,0.382168920047122,2
690,789,18,0.413265724225013,2
690,790,18,0.310662587921081,2
690,791,18,0.170480920423391,2
691,788,18,0.248777150599068,2
691,789,18,0.258853064166519,2
691,790,18,0.18952185542431,2
692,784,18,0.185063029825262,2
692,785,18,0.21609724277337,2
693,783,18,0.276826966581333,2
693,784,18,0.310951089486559,2
693,785,18,0.3604839564467,2
693,786,18,0.27192251210562,2
694,783,18,0.286040886139844,2
694,784,18,0.346231262547101,2
694,785,18,0.343334127806723,2
694,786,18,0.214745652133767,2
695,783,18,0.236411619548431,2
695,784,18,0.283236544160024,2
695,785,18,0.227556920267189,2
684,800,19,0.276335903156579,2
685,799,19,0.252027710577769,2
685,800,19,0.300314211339925,2
686,798,19,0.240750925474933,1
686,799,19,0.216399089760488,2
686,800,19,0.224084201098335,2
687,788,19,0.182790088107676,2
687,789,19,0.196618541873942,2
688,787,19,0.179566603705132,2
688,788,19,0.373384650928014,2
688,789,19,0.386208567154739,2
688,790,19,0.231374600551091,2
689,787,19,0.225989374255061,2
689,788,19,0.422517251422165,2
689,789,19,0.419708364785246,2
689,790,19,0.270205016455025,2
689,791,19,0.165861132207297,1
690,787,19,0.232613777053454,2
690,788,19,0.35609533257464,2
690,789,19,0.350055339015068,2
690,790,19,0.259567320751029,2
691,788,19,0.250662077188187,2
691,789,19,0.225259031027168,2
692,784,19,0.212897972496216,2
692,785,19,0.246868322480019,2
693,783,19,0.228516949022124,2
693,784,19,0.318871729482003,2
693,785,19,0.37252409966736,2
693,786,19,0.259732082605226,2
694,782,19,0.181063418982566,2
694,783,19,0.311219416621845,2
694,784,19,0.405590110980045,2
694,785,19,0.38254263994466,2
694,786,19,0.21070756800346,2
695,782,19,0.179253635533313,2
695,783,19,0.336901273889026,2
695,784,19,0.378421814200183,2
695,785,19,0.260614635777233,2
696,783,19,0.283310701421896,2
696,784,19,0.288950813248354,2
683,800,20,0.230994604698512,2
684,799,20,0.295292822115677,2
684,800,20,0.374948686252648,2
684,801,20,0.25347512374933,2
685,798,20,0.216253372183659,2
685,799,20,0.326930536671584,2
685,800,20,0.386325501903274,2
685,801,20,0.25682636351255,2
686,797,20,0.242566600146352,1
686,798,20,0.297827610624168,2
686,799,20,0.287300934400736,2
686,800,20,0.297749149163244,2
686,801,20,0.231307536801623,2
687,788,20,0.177007661185762,2
687,789,20,0.184551142733589,2
687,798,20,0.290765790591434,2
687,799,20,0.245585070017536,2
687,800,20,0.258205077819919,2
688,787,20,0.183256059735165,2
688,788,20,0.378848747463648,2
688,789,20,0.368481927750244,2
688,790,20,0.222178282521662,2
689,787,20,0.224818632113038,2
689,788,20,0.420544293141829,2
689,789,20,0.395440160379747,2
689,790,20,0.246130044136556,2
689,791,20,0.172282323909686,1
690,787,20,0.241077587732561,2
690,788,20,0.332398504581784,2
690,789,20,0.30627704191203,2
690,790,20,0.225893022715398,2
691,788,20,0.252201008692655,2
691,789,20,0.19672392261329,2
692,784,20,0.244669309589159,2
692,785,20,0.259191532914282,2
693,783,20,0.225073974513755,2
693,784,20,0.346794727889979,2
693,785,20,0.355102769845868,2
693,786,20,0.224440439695815,2
694,782,20,0.184559065826256,2
694,783,20,0.354297812485813,2
694,784,20,0.468055677387633,2
694,785,20,0.385735201442287,2
694,786,20,0.186810294182146,2
695,782,20,0.220233529970306,2
695,783,20,0.431626427455154,2
695,784,20,0.447564708222434,2
695,785,20,0.263099120462172,2
696,782,20,0.228403380686256,2
696,783,20,0.427160544412409,2
696,784,20,0.385644332346109,2
696,785,20,0.181160503919274,2
697,783,20,0.275455441969586,2
697,784,20,0.2380895598502,2
683,799,21,0.1996838890415,2
683,800,21,0.25014122101134,2
684,798,21,0.176387772362021,2
684,799,21,0.326396815989191,2
684,800,21,0.40397173213666,2
684,801,21,0.256443361934375,2
685,798,21,0.239200451984183,2
685,799,21,0.358820275307151,2
685,800,21,0.401341337508455,2
685,801,21,0.256598120733793,2
686,797,21,0.232645301103491,2
686,798,21,0.325788793770098,2
686,799,21,0.355372154996564,2
686,800,21,0.350692961619818,2
686,801,21,0.261803748914091,2
687,788,21,0.158684084678167,2
687,789,21,0.163308225184922,2
687,797,21,0.24383694001168,2
687,798,21,0.309635134729606,2
687,799,21,0.314016881501505,2
687,800,21,0.337017655584051,2
687,801,21,0.278337451898772,2
688,787,21,0.180769254630068,2
688,788,21,0.330490542111706,2
688,789,21,0.316344948226497,2
688,790,21,0.234506542574925,2
688,798,21,0.224779076764212,2
688,799,21,0.219337463056026,2
688,800,21,0.229921416386389,2
689,787,21,0.237786486527039,2
689,788,21,0.408263379278133,2
689,789,21,0.379922416691867,2
689,790,21,0.251708598702835,2
689,791,21,0.195211922410151,1
690,787,21,0.277418180782901,2
690,788,21,0.333916973106403,2
690,789,21,0.28767008559537,2
690,790,21,0.204096438489292,1
691,787,21,0.306501846140706,2
691,788,21,0.251288037577629,2
691,789,21,0.17286679326302,1
692,784,21,0.28029040406955,2
692,785,21,0.266445454881221,2
693,783,21,0.269201705251527,2
693,784,21,0.400144529714074,2
693,785,21,0.321386704247374,2
693,786,21,0.180991113247661,2
694,782,21,0.201048825102743,2
694,783,21,0.40097026264944,2
694,784,21,0.505211831997926,2
694,785,21,0.33857878136631,2
694,786,21,0.148885803972444,2
695,782,21,0.261482040092244,2
695,783,21,0.478971799464914,2
695,784,21,0.448283148776973,2
695,785,21,0.229981987768572,2
696,781,21,0.127047404091865,2
696,782,21,0.308383430362965,2
696,783,21,0.525055199549401,2
696,784,21,0.406490722551425,2
