x,y,z,fucci_ch00,fucci_ch02
300,483,40,0.0485694666971847,0.0232394903486687
299,484,40,0.0300450141145953,0.0103761348897536
300,484,40,0.00167849240863661,0.0148317692835889
301,484,40,0.0915846494239719,0.0152437628747997
299,485,40,0.0387579156176089,0.0100099183642329
300,485,40,0.0802014190890364,0.00735484855420768
301,485,40,0.011459525444419,0.00776684214541848
298,486,40,0.00204470893415732,0.0106660563057908
299,486,40,0.0883344777599756,0.012314030670634
300,486,40,0.0276188296330205,0.00886549172198062
301,486,40,0.00317387655451286,0.00761425192645151
302,486,40,0.045838101777676,0.0158541237506676
297,487,40,0.0343022812237736,0.0145113298237583
298,487,40,0.00352483405813687,0.017792019531548
299,487,40,0.0162050812542916,0.00679026474402991
300,487,40,0.0758831158922713,0.00756847486076143
301,487,40,0.0960097657740139,0.00798046845197223
302,487,40,0.0106813153276875,0.00862134737163348
303,487,40,0.113801785305562,0.0100099183642329
296,488,40,0.00201419089036393,0.00740062561989776
297,488,40,0.00756847486076143,0.0151827267872129
298,488,40,0.0324254215304799,0.0193331807431144
299,488,40,0.113832303349355,0.00735484855420768
300,488,40,0.027695124742504,0.020660715648127
301,488,40,0.0589761196307317,0.019302662699321
302,488,40,0.0419012741283284,0.00961318379491875
303,488,40,0.03076218814374,0.0180361638818952
294,489,40,0.0235446707866026,0.0142977035172045
295,489,40,0.0544594491493095,0.0342412451361868
296,489,40,0.0145723659113451,0.0156099794003204
297,489,40,0.0548256656748302,0.00944533455405508
298,489,40,0.0584267948424506,0.0115663385976959
299,489,40,0.0856641489280537,0.018951705195697
300,489,40,0.135774776836805,0.018951705195697
301,489,40,0.0260318913557641,0.0190585183489738
302,489,40,0.030411230640116,0.00843823910887312
303,489,40,0.0272831311512932,0.0159761959258412
304,489,40,0.0604409857328145,0.0113679713130388
292,490,40,0.004272526131075,0.0155031662470436
293,490,40,0.0875867856870375,0.0218966964217594
294,490,40,0.00697337300679027,0.0334477759975586
295,490,40,0.0391699092088197,0.017792019531548
296,490,40,0.0310521095597772,0.0195620660715648
297,490,40,0.00845349813076982,0.0121919584954604
298,490,40,0.0279697871366445,0.0331273365377279
299,490,40,0.0919508659494926,0.0260166323338674
300,490,40,0.0213931486991684,0.0183566033417258
301,490,40,0.168139162279698,0.0153200579842832
302,490,40,0.0883344777599756,0.0159456778820478
303,490,40,0.0288853284504463,0.0202029449912261
304,490,40,0.0467994201571679,0.0149080643930724
291,491,40,0.00953688868543526,0.024429694056611
292,491,40,0.0697337300679026,0.0387731746395056
293,491,40,0.117708094911116,0.0184939345387961
294,491,40,0.052628366521706,0.0217441062027924
295,491,40,0.0732585641260395,0.028549629968719
296,491,40,0.0325017166399634,0.0365300984206912
297,491,40,0.13311970702678,0.023071641107805
298,491,40,0.0537575341420615,0.036743724727245
299,491,40,0.0888532845044633,0.0110017547875181
300,491,40,0.0862134737163348,0.013015945677882
301,491,40,0.00167849240863661,0.0201419089036393
302,491,40,0.0243076218814374,0.0174563210498207
303,491,40,0.0718699931334401,0.0192111085679408
304,491,40,0.00646982528419928,0.0136415655756466
305,491,40,0.010406652933547,0.00805676356145571
290,492,40,0.0566872663462272,0.0472266727702754
291,492,40,0.0721446555275807,0.0291599908445869
292,492,40,0.00405889982452125,0.0135500114442664
293,492,40,0.00167849240863661,0.0208285648889906
294,492,40,0.0215457389181353,0.02734416723888
295,492,40,0.0516060120546273,0.0167238879987793
296,492,40,0.098817425803006,0.0107423514152743
297,492,40,0.0709391927977417,0.0276035706111238
298,492,40,0.0491645685511559,0.0279545281147478
299,492,40,0.0173189898527504,0.0114290074006256
300,492,40,0.089921416037232,0.0139620050354772
301,492,40,0.062226291294728,0.0205539024948501
302,492,40,0.0564431219958801,0.0154879072251469
303,492,40,0.00617990386816205,0.00764476997024491
304,492,40,0.0291752498664836,0.0157625696192874
305,492,40,0.0134279392690929,0.0202639810788128
289,493,40,0.0345464255741207,0.0118867780575265
290,493,40,0.0599526970321202,0.0133669031815061
291,493,40,0.0194094758525978,0.00866712443732357
292,493,40,0.0021210040436408,0.0159456778820478
293,493,40,0.00675974670023652,0.014373998626688
294,493,40,0.106645304036011,0.0248111696040284
295,493,40,0.0719157701991302,0.0300144960708019
296,493,40,0.0929579613946746,0.0154726482032502
297,493,40,0.020660715648127,0.0215762569619287
298,493,40,0.0392462043183032,0.0195315480277714
299,493,40,0.0674906538490883,0.0144350347142748
300,493,40,0.051117723353933,0.00845349813076982
301,493,40,0.0215762569619287,0.00758373388265812
302,493,40,0.0676585030899519,0.00750743877317464
303,493,40,0.0505836575875486,0.022720683604181
304,493,40,0.0961318379491875,0.018097199969482
305,493,40,0.0329137102311742,0.023224231326772
306,493,40,0.0247959105821317,0.0097962920576791
288,494,40,0.00233463035019455,0.00863660639353018
289,494,40,0.129869535362783,0.0202639810788128
290,494,40,0.0225833524071107,0.0190737773708705
291,494,40,0.0098268101014725,0.0214694438086519
292,494,40,0.0653086137178607,0.0231326771953918
293,494,40,0.0451209277485313,0.013824673838407
294,494,40,0.118074311436637,0.0107270923933776
295,494,40,0.0429846646829938,0.0237277790493629
296,494,40,0.0722972457465477,0.0196993972686351
297,494,40,0.0747844663157092,0.0228885328450446
298,494,40,0.09062333104448,0.0283665217059586
299,494,40,0.086152437628748,0.00701915007248035
300,494,40,0.0395361257343404,0.00785839627679866
301,494,40,0.0442511635004196,0.0120851453421836
302,494,40,0.0439917601281758,0.0335545891508354
303,494,40,0.00517280842298009,0.0147859922178988
304,494,40,0.0318303196765087,0.0231937132829786
305,494,40,0.0491187914854658,0.0153353170061799
306,494,40,0.0270542458228428,0.0192263675898375
288,495,40,0.00907911802853437,0.0429846646829938
289,495,40,0.0455786984054322,0.0211490043488212
290,495,40,0.0664682993820096,0.0293430991073472
291,495,40,0.0307164110780499,0.0152895399404898
292,495,40,0.013321126115816,0.0440985732814527
293,495,40,0.0473182269016556,0.0140688181887541
294,495,40,0.0180209048599985,0.0211032272831312
295,495,40,0.0844281681544213,0.0170443274586099
296,495,40,0.0851911192492561,0.0195620660715648
297,495,40,0.0581521324483101,0.0142824444953079
298,495,40,0.0503547722590982,0.0285038529030289
299,495,40,0.092835889219501,0.0135347524223697
300,495,40,0.0655985351338979,0.0142824444953079
301,495,40,0.011612115663386,0.0205996795605402
302,495,40,0.0902876325627527,0.0154421301594568
303,495,40,0.0236362249179828,0.0308537422751202
304,495,40,0.0313420309758144,0.0108033875028611
305,495,40,0.0191958495460441,0.0177309834439612
306,495,40,0.107972838941024,0.011612115663386
307,495,40,0.0219729915312428,0.0195315480277714
287,496,40,0.00772106507972839,0.00900282291905089
288,496,40,0.0100099183642329,0.0133974212252995
289,496,40,0.137270160982681,0.0275883115892271
290,496,40,0.0429999237048905,0.0103608758678569
291,496,40,0.073838406958114,0.0278019378957809
292,496,40,0.0393835355153735,0.0304875257495994
293,496,40,0.0131074998092622,0.0300450141145953
294,496,40,0.0824292362859541,0.0142214084077211
295,496,40,0.18979171435111,0.0340886549172198
296,496,40,0.040161745632105,0.0248416876478218
297,496,40,0.0012970168612192,0.0262455176623178
298,496,40,0.00776684214541848,0.0111238269626917
299,496,40,0.0718852521553368,0.00749217975127794
300,496,40,0.0417944609750515,0.0203402761882963
301,496,40,0.00775158312352178,0.0238956282902266
302,496,40,0.140077821011673,0.0124971389333944
303,496,40,0.0414435034714275,0.0222476539253834
304,496,40,0.0174258030060273,0.0361333638513771
305,496,40,0.00746166170748455,0.0346684977492943
306,496,40,0.00482185091935607,0.0351110093842985
307,496,40,0.0789196612497139,0.027496757457847
287,497,40,0.0794079499504082,0.0212710765239948
288,497,40,0.0441290913252461,0.0267490653849088
289,497,40,0.0278019378957809,0.015884641794461
290,497,40,0.0734111543450065,0.0117036697947662
291,497,40,0.0592660410467689,0.0293430991073472
292,497,40,0.016433966582742,0.0308232242313268
293,497,40,0.0641641870756084,0.0274204623483635
294,497,40,0.0258030060273136,0.0151064316777295
295,497,40,0.0342107270923934,0.0170901045243
296,497,40,0.130891889829862,0.0196231021591516
297,497,40,0.0727092393377585,0.0438086518654154
298,497,40,0.016586556801709,0.0209506370641642
299,497,40,0.0229648279545281,0.0122377355611505
300,497,40,0.0612649729152361,0.00869764248111696
301,497,40,0.053681239032578,0.00985732814526589
302,497,40,0.0795910582131685,0.0234378576333257
303,497,40,0.0188906691081102,0.0170748455024033
304,497,40,0.012115663385977,0.0262455176623178
305,497,40,0.0325169756618601,0.0207980468451972
306,497,40,0.119829098954757,0.0212252994583047
307,497,40,0.043228809033341,0.0141145952544442
308,497,40,0.0847791256580453,0.0123903257801175
286,498,40,0.0471351186388952,0.0230411230640116
287,498,40,0.0708171206225681,0.0249485008010987
288,498,40,0.0215304798962387,0.00994888227664607
289,498,40,0.133333333333333,0.0274814984359503
290,498,40,0.0985885404745556,0.0414282444495308
291,498,40,0.0295719844357977,0.0130464637216754
292,498,40,0.0159761959258412,0.0176546883344778
293,498,40,0.0700541695277333,0.0185549706263828
294,498,40,0.0620584420538643,0.0226749065384909
295,498,40,0.107972838941024,0.0283054856183719
296,498,40,0.0164797436484321,0.0184328984512093
297,498,40,0.0650492103456169,0.0147402151522087
298,498,40,0.0542458228427558,0.0202944991226062
299,498,40,0.0248264286259251,0.00901808194094758
300,498,40,0.0202334630350195,0.0137331197070268
301,498,40,0.00540169375143053,0.0149691004806592
302,498,40,0.0477302204928664,0.0186770428015564
303,498,40,0.0154879072251469,0.0141298542763409
304,498,40,0.00192263675898375,0.0120698863202869
305,498,40,0.125307087815671,0.0208896009765774
306,498,40,0.037445639734493,0.0168307011520562
307,498,40,0.00366216525520714,0.0122224765392538
308,498,40,0.0021362630655375,0.0143587396047913
285,499,40,0.147692072938125,0.0093842984664683
286,499,40,0.0424353398947128,0.0124361028458076
287,499,40,0.0635385671778439,0.0456855115587091
288,499,40,0.103807125963226,0.0493324177920195
289,499,40,0.0318913557640955,0.0308842603189136
290,499,40,0.173067826352331,0.0159914549477378
291,499,40,0.0681620508125429,0.00756847486076143
292,499,40,0.0987869077592126,0.0175783932249943
293,499,40,0.00210574502174411,0.0208743419546807
294,499,40,0.148302433813993,0.0110627908751049
295,499,40,0.0527351796749828,0.0530861371786069
296,499,40,0.133546959639887,0.0115815976195926
297,499,40,0.0746318760967422,0.0294193942168307
298,499,40,0.0775310902571145,0.0242160677500572
299,499,40,0.104356450751507,0.0196841382467384
300,499,40,0.0228427557793545,0.0236209658960861
301,499,40,0.0987106126497291,0.0402990768291753
302,499,40,0.0150148775463493,0.0224307621881437
303,499,40,0.0550698100251774,0.00912489509422446
304,499,40,0.130418860151064,0.0142519264515145
305,499,40,0.0953841458762493,0.00935378042267491
306,499,40,0.0899671931029221,0.0361791409170672
307,499,40,0.0379949645227741,0.0110627908751049
308,499,40,0.0464637216754406,0.01879911497673
285,500,40,0.0202182040131228,0.00740062561989776
286,500,40,0.0763561455710689,0.007690547035935
287,500,40,0.0529182879377432,0.0485236896314946
288,500,40,0.0170290684367132,0.0320439459830625
289,500,40,0.0130312046997787,0.0134431982909895
290,500,40,0.143053330281529,0.0455176623178454
291,500,40,0.0712291142137789,0.0430457007705806
292,500,40,0.0165712977798123,0.0147096971084154
293,500,40,0.0851758602273594,0.00779736018921187
294,500,40,0.0873426413366903,0.0236209658960861
295,500,40,0.0287327382314794,0.0136110475318532
296,500,40,0.0312199588006409,0.026138704509041
297,500,40,0.0901960784313725,0.0128938735027085
298,500,40,0.0511024643320363,0.0218051422903792
299,500,40,0.0244754711223011,0.00825513084611276
300,500,40,0.0501564049744411,0.0104676890211337
301,500,40,0.0788738841840238,0.0247959105821317
302,500,40,0.0400244144350347,0.033676661326009
303,500,40,0.0438239108873121,0.0182803082322423
304,500,40,0.028702220187686,0.0352941176470588
305,500,40,0.00531013962005035,0.0244754711223011
306,500,40,0.0212252994583047,0.0144350347142748
307,500,40,0.214404516670481,0.00885023270008392
308,500,40,0.0888075074387732,0.00854505226215
309,500,40,0.0214694438086519,0.0139162279697871
284,501,40,0.0717631799801633,0.0180666819256886
285,501,40,0.0016937514305333,0.00889600976577401
286,501,40,0.0136415655756466,0.0562752727550164
287,501,40,0.0137178606851301,0.0149996185244526
288,501,40,0.0580453192950332,0.0157778286411841
289,501,40,0.08715953307393,0.0184328984512093
290,501,40,0.11468680857557,0.0109712367437247
291,501,40,0.0821698329137102,0.0258793011367971
292,501,40,0.0961165789272908,0.0653238727397574
293,501,40,0.0426794842450599,0.0471198596169985
294,501,40,0.0813458457312886,0.0248416876478218
295,501,40,0.23085374227512,0.0233920805676356
296,501,40,0.0404058899824521,0.007690547035935
297,501,40,0.183169298847944,0.0244754711223011
298,501,40,0.0467994201571679,0.0379797055008774
299,501,40,0.0539559014267185,0.0129243915465019
300,501,40,0.109086747539483,0.0215304798962387
301,501,40,0.076401922636759,0.0286564431219959
302,501,40,0.0797894254978256,0.0383459220263981
303,501,40,0.0250553139543755,0.0204776073853666
304,501,40,0.0204318303196765,0.0185397116044862
305,501,40,0.027847714961471,0.0117494468604562
306,501,40,0.0380102235446708,0.00775158312352178
307,501,40,0.122041657129778,0.00833142595559625
308,501,40,0.0563363088426032,0.00729381246662089
309,501,40,0.0709391927977417,0.00755321583886473
284,502,40,0.00192263675898375,0.00772106507972839
285,502,40,0.0175478751812009,0.0119172961013199
286,502,40,0.0602121004043641,0.0190737773708705
287,502,40,0.0536354619668879,0.00840772106507973
288,502,40,0.061371786068513,0.00872816052491035
289,502,40,0.0646066987106127,0.0299687190051118
290,502,40,0.0805981536583505,0.0208743419546807
291,502,40,0.153017471580072,0.0373998626688029
292,502,40,0.065995269703212,0.0129243915465019
293,502,40,0.0500343327992676,0.0172121766994736
294,502,40,0.0769512474250401,0.0249179827573053
295,502,40,0.0150453955901427,0.0229800869764248
296,502,40,0.00875867856870375,0.0267185473411154
297,502,40,0.113954375524529,0.0198214694438087
298,502,40,0.0632181277180133,0.025482566567483
299,502,40,0.0568398565651942,0.0276646066987106
300,502,40,0.037949187457084,0.0277256427862974
301,502,40,0.0197146562905318,0.0281528953994049
302,502,40,0.100404364080262,0.0210421911955444
303,502,40,0.0766918440527962,0.0315251392385748
304,502,40,0.0498359655146105,0.0329900053406577
305,502,40,0.079514763103685,0.0121919584954604
306,502,40,0.111375600823987,0.0141451132982376
307,502,40,0.00971999694819562,0.0131532768749523
308,502,40,0.018997482261387,0.0210727092393378
309,502,40,0.116609445334554,0.00732433051041428
310,502,40,0.0344396124208438,0.0233920805676356
284,503,40,0.0640726329442283,0.0129243915465019
285,503,40,0.0642252231631952,0.00772106507972839
286,503,40,0.00924696726939803,0.0220798046845197
287,503,40,0.00180056458381018,0.0353093766689555
288,503,40,0.0356755931944762,0.0239414053559167
289,503,40,0.0747234302281224,0.0126497291523613
290,503,40,0.0686808575570306,0.00764476997024491
291,503,40,0.052323186083772,0.0178835736629282
292,503,40,0.127779049362936,0.0247196154726482
293,503,40,0.036591134508278,0.0156252384222171
294,503,40,0.0503395132372015,0.0647440299076829
295,503,40,0.143404287785153,0.027847714961471
296,503,40,0.029205767910277,0.0171206225680934
297,503,40,0.0302891584649424,0.0188601510643168
298,503,40,0.0225986114290074,0.0260776684214542
299,503,40,0.00143434805828946,0.0156862745098039
300,503,40,0.0117494468604562,0.0104676890211337
301,503,40,0.132646677347982,0.0162203402761883
302,503,40,0.047348744945449,0.0299382009613184
303,503,40,0.105058365758755,0.0196841382467384
304,503,40,0.00587472343022812,0.0112916762035554
305,503,40,0.0591287098496986,0.00901808194094758
306,503,40,0.0576791027695125,0.029755092698558
307,503,40,0.0811627374685283,0.0105745021744106
308,503,40,0.127260242618448,0.0133821622034028
309,503,40,0.0207980468451972,0.0153505760280766
310,503,40,0.0188448920424201,0.0111543450064851
285,504,40,0.00454718852521553,0.0148928053711757
286,504,40,0.120729381246662,0.0214236667429618
287,504,40,0.0795757991912718,0.0110475318532082
288,504,40,0.0295872434576944,0.0345616845960174
289,504,40,0.136186770428016,0.0089570458533608
290,504,40,0.0907606622415503,0.0113221942473487
291,504,40,0.026993209735256,0.01196307316701
292,504,40,0.0747386892500191,0.0346990157930877
293,504,40,0.0299687190051118,0.0331883726253147
294,504,40,0.0223086900129702,0.0446784161135271
295,504,40,0.0752117189288167,0.0305638208590829
296,504,40,0.069413290608072,0.0220035095750362
297,504,40,0.00532539864194705,0.0277561608300908
298,504,40,0.0501564049744411,0.0410620279240101
299,504,40,0.156160830090791,0.0185854886701762
300,504,40,0.0367132066834516,0.023422598611429
301,504,40,0.175097276264591,0.0118562600137331
302,504,40,0.0217441062027924,0.0209201190203708
303,504,40,0.052628366521706,0.0152895399404898
304,504,40,0.0186770428015564,0.0298924238956283
305,504,40,0.00233463035019455,0.0150911726558328
306,504,40,0.0110322728313115,0.0242313267719539
307,504,40,0.0525520714122225,0.0089417868314641
308,504,40,0.0063935301747158,0.00804150453955901
309,504,40,0.015030136568246,0.0185702296482795
285,505,40,0.0137636377508202,0.0114290074006256
286,505,40,0.144380865186542,0.0232089723048753
287,505,40,0.033325703822385,0.00819409475852598
288,505,40,0.0187075608453498,0.0220187685969329
289,505,40,0.124254215304799,0.0112916762035554
290,505,40,0.112291142137789,0.0265812161440452
291,505,40,0.0399176012817578,0.0175478751812009
292,505,40,0.170962081330587,0.0392767223620966
293,505,40,0.0597848477912566,0.0142061493858244
294,505,40,0.0193636987869078,0.0383154039826047
295,505,40,0.017441062027924,0.0224307621881437
296,505,40,0.161867704280156,0.0117341878385595
297,505,40,0.0288548104066529,0.0177157244220645
298,505,40,0.0567788204776074,0.0296787975890745
299,505,40,0.141176470588235,0.043579766536965
300,505,40,0.00970473792629892,0.0375066758220798
301,505,40,0.0880598153658351,0.017242694743267
302,505,40,0.042023346303502,0.0144045166704814
303,505,40,0.0490119783321889,0.0269626916914626
