x,y,z,signal,cytoplasm.p
216,492,1,0.0887877182436689,1
216,493,1,0.0904668185083639,1
216,494,1,0.0868280787950728,1
216,495,1,0.0842731683702591,1
216,496,1,0.0871809572446713,1
216,497,1,0.0936910712584457,1
217,491,1,0.0750144771842283,1
217,492,1,0.0754643931251151,1
217,493,1,0.0748902045775895,1
217,494,1,0.0745291847530383,1
217,495,1,0.0779582490697138,1
217,496,1,0.0842904192206245,1
217,497,1,0.0893833857911592,1
217,498,1,0.0950678267511678,1
217,499,1,0.0996612651482062,1
217,500,1,0.106676972543178,1
217,501,1,0.112483650766087,1
217,502,1,0.12219087572548,1
217,503,1,0.135632122478378,1
217,505,1,0.13909732726825,1
217,506,1,0.129156043610896,1
217,507,1,0.122378430609778,1
217,508,1,0.120161223951449,1
217,509,1,0.121800392988135,1
217,510,1,0.126785643802669,1
217,511,1,0.131380703476381,1
217,512,1,0.134829158961909,1
218,488,1,0.075733070162416,1
218,489,1,0.0743334593341354,1
218,490,1,0.0712809977602588,1
218,491,1,0.0684101658293103,1
218,492,1,0.0664464032058635,1
218,493,1,0.0654067157992036,1
218,494,1,0.0671776106496836,1
218,495,1,0.0718075452676777,1
218,496,1,0.0764984585507905,1
218,502,1,0.115201120421153,1
218,503,1,0.137629733626342,1
218,504,1,0.146284540074833,1
218,505,1,0.13378597822889,1
218,506,1,0.118284100487241,1
218,507,1,0.11020221122543,1
218,508,1,0.108293770294535,1
218,509,1,0.111038778325336,1
218,510,1,0.117224485374125,1
218,511,1,0.12378337765445,1
218,512,1,0.129826354036624,1
218,513,1,0.142631512131862,1
219,487,1,0.0739691036453485,1
219,488,1,0.0704087217500121,1
219,489,1,0.0674585988922318,1
219,490,1,0.0636918541367936,1
219,491,1,0.0618506903559372,1
219,492,1,0.0613194423125499,1
219,493,1,0.0627558001347969,1
219,494,1,0.0654908705560573,1
219,495,1,0.0677446375865773,1
219,504,1,0.144958347419389,1
219,505,1,0.127548308679508,1
219,506,1,0.110086902295942,1
219,507,1,0.101390957409832,1
219,508,1,0.0986241146313058,1
219,509,1,0.0997857185446898,1
219,510,1,0.105416774013067,1
219,511,1,0.114107890060739,1
219,512,1,0.122436213376993,1
219,513,1,0.130963160581599,1
219,514,1,0.137228356842856,1
219,515,1,0.139320993466092,1
220,482,1,0.128719535278187,1
220,486,1,0.0799262573385514,1
220,487,1,0.0721147305419506,1
220,488,1,0.0657919964545595,1
220,489,1,0.0608235940871876,1
220,490,1,0.0578639710146523,1
220,491,1,0.0584675058363627,1
220,492,1,0.0604943816114846,1
220,493,1,0.0641842265315886,1
220,494,1,0.0672309144942881,1
220,495,1,0.0670675912811426,1
220,506,1,0.103237626533063,1
220,507,1,0.0951977621623044,1
220,508,1,0.0926039994166203,1
220,509,1,0.0939532806848422,1
220,510,1,0.0993437398611889,1
220,511,1,0.109084475093131,1
220,512,1,0.116772499097917,1
220,513,1,0.119426249080538,1
220,514,1,0.118685453943006,1
220,515,1,0.117599758436774,1
220,516,1,0.127484355729844,1
221,481,1,0.144158439834493,1
221,482,1,0.135682557013186,1
221,483,1,0.129712118182345,1
221,485,1,0.0955761378119698,1
221,486,1,0.0820210051206216,1
221,487,1,0.074062029625647,1
221,488,1,0.0661320563209589,1
221,489,1,0.0614087408320886,1
221,490,1,0.0599086924970488,1
221,491,1,0.0611954204789219,1
221,492,1,0.0619507896107284,1
221,493,1,0.0636377279899911,1
221,494,1,0.064143362194702,1
221,495,1,0.0633765624791509,1
221,496,1,0.058600316389227,1
221,507,1,0.0936945354251519,1
221,508,1,0.0914565437665854,1
221,509,1,0.0931141650313156,1
221,510,1,0.0973668962176712,1
221,511,1,0.105105372253056,1
221,512,1,0.111157504766087,1
221,513,1,0.111637974190768,1
221,514,1,0.109097398651079,1
221,515,1,0.10621107128084,1
221,516,1,0.112053639203935,1
221,517,1,0.124302664408419,1
222,480,1,0.149797706660988,1
222,481,1,0.147632765763638,1
222,482,1,0.153004545266651,1
222,483,1,0.166620691614701,1
222,484,1,0.152662934106744,1
222,485,1,0.113706606588141,1
222,486,1,0.0861836096533099,1
222,487,1,0.0757776202793672,1
222,488,1,0.0691505468997784,1
222,489,1,0.0667500543302644,1
222,490,1,0.0646620482598313,1
222,491,1,0.0616405892283964,1
222,492,1,0.0566807947904158,1
222,493,1,0.0529894335683866,1
222,494,1,0.0499614894302558,1
222,495,1,0.0494267888840232,1
222,496,1,0.0472232872623267,1
222,497,1,0.0473386836707719,1
222,498,1,0.0511156984557888,1
222,502,1,0.076236575712501,1
222,503,1,0.0842744922184785,1
222,506,1,0.0972478256930223,1
222,507,1,0.090238708379495,1
222,508,1,0.0894306360919235,1
222,509,1,0.0922214072812165,1
222,510,1,0.0969492775077931,1
222,511,1,0.102562872176308,1
222,512,1,0.105199079712039,1
222,515,1,0.104418604119508,1
222,516,1,0.108027554331897,1
222,517,1,0.114446072045523,1
222,518,1,0.12380758016595,1
223,480,1,0.149823367155109,1
223,481,1,0.151525544368721,1
223,482,1,0.163869781670252,1
223,483,1,0.186242408342814,1
223,484,1,0.173280312998309,1
223,485,1,0.125315904010343,1
223,486,1,0.0881153608103416,1
223,487,1,0.0753642063913666,1
223,488,1,0.0709228530774351,1
223,489,1,0.0703207587425537,1
223,490,1,0.0654697764635043,1
223,491,1,0.0575995454546727,1
223,492,1,0.0487997397186098,1
223,493,1,0.0431893292841385,1
223,494,1,0.0391726804756205,1
223,495,1,0.0385900589566182,1
223,496,1,0.0376934433845053,1
223,497,1,0.0389869509855636,1
223,498,1,0.0430002930894983,1
223,499,1,0.0464587124282544,1
223,500,1,0.0521183356080973,1
223,501,1,0.0568612463833866,1
223,502,1,0.0637130415402343,1
223,503,1,0.0711786357164405,1
223,504,1,0.0779296026271867,1
223,505,1,0.0817776095019597,1
223,506,1,0.081745143144967,1
223,507,1,0.080115141902999,1
223,508,1,0.082180963309879,1
223,509,1,0.0888895787414657,1
223,510,1,0.0997595914961309,1
223,511,1,0.107326241363727,1
223,512,1,0.105193679344413,1
223,513,1,0.101023137554338,1
223,514,1,0.10229580475182,1
223,515,1,0.104858821560003,1
223,516,1,0.10877053061143,1
223,517,1,0.113095665214718,1
223,518,1,0.120283426222767,1
223,519,1,0.126336643474868,1
224,480,1,0.152630263632184,1
224,481,1,0.150759018753902,1
224,482,1,0.150690691856376,1
224,483,1,0.157551829765856,1
224,484,1,0.145252696614672,1
224,485,1,0.111034625990833,1
224,486,1,0.0841271018394095,1
224,487,1,0.0737792859720237,1
224,488,1,0.0688426559619172,1
224,489,1,0.0651202455420024,1
224,490,1,0.0567245809244739,1
224,491,1,0.048063137739094,1
224,492,1,0.0407589130793218,1
224,493,1,0.037226953097189,1
224,494,1,0.0348428890758424,1
224,497,1,0.0357778116833256,1
224,498,1,0.0402723609511477,1
224,499,1,0.0434313777268591,1
224,500,1,0.0476493826831602,1
224,501,1,0.050794936447354,1
224,502,1,0.0557503044500989,1
224,503,1,0.0601849452120457,1
224,504,1,0.063116394228423,1
224,505,1,0.0652215286786814,1
224,506,1,0.067492692357829,1
224,507,1,0.0696951267362474,1
224,508,1,0.0730012772860864,1
224,509,1,0.0807737942996939,1
224,510,1,0.0937779670226259,1
224,511,1,0.102581546017711,1
224,512,1,0.0983114181827275,1
224,513,1,0.090777648739188,1
224,514,1,0.0917329772714273,1
224,515,1,0.0965896340188356,1
224,516,1,0.101419825465717,1
224,517,1,0.10424218822243,1
224,518,1,0.110361982792912,1
224,519,1,0.117943644049569,1
225,480,1,0.15844355526426,1
225,481,1,0.15362705719015,1
225,482,1,0.141473092452521,1
225,483,1,0.129631870818914,1
225,484,1,0.115729400011925,1
225,485,1,0.0961051230663301,1
225,486,1,0.0802742078068927,1
225,487,1,0.0711806652282482,1
225,488,1,0.0626289731426071,1
225,489,1,0.0549751242504453,1
225,490,1,0.0464980662951463,1
225,491,1,0.0408441875668281,1
225,492,1,0.0363340699605845,1
225,497,1,0.0369316066417943,1
225,498,1,0.0429024828674212,1
225,499,1,0.0487982846519546,1
225,500,1,0.0551986679777468,1
225,501,1,0.056770303259452,1
225,502,1,0.0569457277283474,1
225,503,1,0.0570634452451244,1
225,504,1,0.0574945648740681,1
225,505,1,0.0588147798007682,1
225,506,1,0.0615875244929416,1
225,507,1,0.0648264562120464,1
225,508,1,0.0674028689645468,1
225,509,1,0.0709839658769549,1
225,510,1,0.0771937471347725,1
225,511,1,0.0828161188586623,1
225,512,1,0.0810763490211641,1
225,513,1,0.0772754933043373,1
225,514,1,0.0781905231969467,1
225,515,1,0.0814805251312814,1
225,516,1,0.0859616988665433,1
225,517,1,0.0889897713071446,1
225,518,1,0.0936919285522265,1
225,519,1,0.101147392665186,1
225,520,1,0.115123450770995,1
226,479,1,0.165756889399445,1
226,480,1,0.164566860656892,1
226,481,1,0.15881860671355,1
226,482,1,0.143221656841186,1
226,483,1,0.123544583428938,1
226,484,1,0.107880729650085,1
226,485,1,0.092108839359055,1
226,486,1,0.0777277828409302,1
226,487,1,0.0655396604864689,1
226,488,1,0.0534830306685828,1
226,489,1,0.0453898857809417,1
226,490,1,0.039979458074625,1
226,491,1,0.0373412443548079,1
226,496,1,0.0344973355309292,1
226,497,1,0.0385741931897422,1
226,498,1,0.0470525808251911,1
226,499,1,0.0596157429650822,1
226,500,1,0.072518364282533,1
226,501,1,0.0719443331971305,1
226,502,1,0.0631101832224598,1
226,503,1,0.057689952041003,1
226,504,1,0.0567821304144692,1
226,505,1,0.0579145280199999,1
226,506,1,0.0603044298037588,1
226,507,1,0.063115898514332,1
226,508,1,0.0649409953267108,1
226,509,1,0.0653110313157871,1
226,510,1,0.0654191844665738,1
226,511,1,0.066844724057777,1
226,512,1,0.0670872798784495,1
226,513,1,0.0679807549559979,1
226,514,1,0.0694883089855679,1
226,515,1,0.0700685044214898,1
226,516,1,0.0735532753381283,1
226,517,1,0.0772979520686231,1
226,518,1,0.0810421680766097,1
226,519,1,0.0864247308190839,1
226,520,1,0.0987519155558861,1
226,521,1,0.118503894283243,1
227,480,1,0.170127396421882,1
227,481,1,0.159477054992678,1
227,482,1,0.141849905144817,1
