FoF,Cell_id,true_labels,pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
FoF1_240918_fluorescent.nucleus,cell20,1,3,0.06874751,-0.042134766,0.009033439,-0.106353804,0.1478256,-0.029537065,0.07636737,-0.08001659,-0.020783724,-0.08330788,-0.023293141,0.013990329,-0.3406681,-0.06955448,-0.19043437,-0.012092529,-0.04861464,-0.11861667,-0.01713983,0.2303345,-0.050604913,0.19302462,0.0031794924,0.003617052,0.026772762,-0.033492446,0.07852834,-0.108998194,0.2210369,0.11396707,-0.015517302,-0.1273378
FoF4_231005_fluorescent.nucleus,cell100,2,2,-0.05151703,-0.117038235,-0.046785858,0.4353256,-0.50171137,-0.10573353,0.005802896,-0.17635918,-0.08807826,0.29628935,-0.07310604,0.52963936,-0.17283446,-0.25035834,-0.34866372,0.04123844,-0.122225024,-0.66846424,0.063741446,0.32158,0.012867825,-0.21863802,-0.047333058,0.13734289,0.13895516,0.0749635,-0.14363709,-0.14457706,-0.6147374,0.23337853,0.031214558,-0.13754937
FoF3_231005_fluorescent.nucleus,cell13,3,3,0.019786336,-0.07476622,-0.112012714,-0.44487473,0.8501244,-0.0037924089,-0.028707169,-0.006580204,0.0058996766,-0.66566277,-0.014572542,-0.32470238,-0.34958836,-0.022675257,-0.17313975,-0.027435103,-0.021707853,0.16897307,-0.027218692,0.06641598,0.004167876,0.37019044,-0.06485604,-0.026707197,0.013164893,-0.10401798,0.1108817,0.010706924,1.0863507,0.009517197,-0.013892968,-0.1646558
FoF3_240918_fluorescent.nucleus,cell45,1,3,0.08321394,-0.09205736,-0.033323355,-0.52052,0.85152495,-0.017948218,0.08399921,-0.073813036,-0.050111324,-1.1803551,-0.0644345,-0.78233474,-0.057270903,-0.021778844,0.07043894,-0.0046823425,-0.105125815,0.52802885,-0.012996137,-0.24832676,-0.08288817,0.058790214,-0.02923467,-0.045672353,-0.023161095,-0.0854612,0.13936326,-0.1842336,1.2567284,-0.33099478,-0.031045362,-0.1405354
FoF4_231005_fluorescent.nucleus,cell111,2,2,-0.0979802,-0.09849298,-0.11346104,0.16138297,-0.3190315,-0.10180322,-0.033824403,-0.08175309,-0.09323482,0.16392216,-0.071358114,0.15798378,-0.0002377294,-0.0695824,-0.08818889,-0.052286193,-0.07175769,-0.28714335,-0.04822197,-0.055682234,-0.06885344,-0.13873872,-0.070531934,-0.054997757,-0.030847404,-0.019986287,-0.053257503,-0.052784275,-0.27573597,0.05650311,-0.07591914,-0.06026823
FoF4_231005_fluorescent.nucleus,cell164,1,1,-0.062223554,-0.08645765,-0.039708532,0.12516084,0.056165528,-0.075763255,-0.06249228,-0.111045,-0.08901185,-0.08267851,-0.08640624,0.08827308,0.13091135,-0.25766313,-0.09191675,-0.015642345,-0.09187253,0.065978125,-0.022693355,0.07381084,-0.067166135,-0.33362153,-0.15997118,-0.033237875,-0.016150245,0.13036636,-0.056201093,-0.01678359,-0.20374349,-0.29341978,-0.047204033,-0.14823309
FoF1_231005_fluorescent.nucleus,cell55,3,1,-0.07510652,-0.07320522,-0.033002846,-0.0955593,0.1718041,-0.04205108,-0.026642483,-0.043761335,-0.04992769,-0.27749473,-0.11116049,-0.151672,-0.018688329,-0.17610767,-0.14038245,-0.08643496,-0.069781885,0.10692528,-0.092286125,-0.041714422,-0.086533636,-0.0848923,-0.15211987,-0.13256717,-0.091194846,0.058325283,0.07837123,-0.0019358089,0.2029853,-0.21350737,-0.10712564,-0.22618374
FoF4_231005_fluorescent.nucleus,cell170,1,3,-0.048712924,-0.07948305,-0.038262837,-0.18911347,0.39230865,-0.05774094,-0.03921707,-0.09344731,-0.06731652,-0.20305285,-0.073188744,-0.036403503,-0.24594377,-0.24192375,-0.22297417,-0.061145604,-0.08692826,0.19059715,-0.06627737,0.19456393,-0.074699506,0.06120842,-0.1306621,-0.06590776,-0.050245717,0.041320287,0.0290608,-0.02713447,0.13748205,-0.24366353,-0.05911032,-0.20516272
FoF1_240918_fluorescent.nucleus,cell50,3,3,0.06107561,-0.030739821,0.041322157,-0.42280424,0.5979959,-0.023096375,0.25073633,-0.09841174,0.034344316,-0.49749857,0.10942428,-0.23047838,-0.8132544,0.07200813,-0.22724243,0.0727856,-0.049042635,-0.16068056,0.07516336,0.30180377,-0.035316754,0.70643693,0.2333744,0.056332324,0.0626801,-0.2908038,0.20958579,-0.20942357,1.3402257,0.445415,0.08710478,-0.016338289
FoF1_240918_fluorescent.nucleus,cell42,3,3,0.0052215336,-0.09359134,-0.084012896,0.007961191,0.067975745,-0.08685718,0.023247847,-0.061114714,-0.087158054,0.049019363,-0.04749493,0.19320628,-0.25713226,-0.1376903,-0.27652878,-0.04221809,-0.06731411,-0.18767521,-0.04698233,0.32821876,-0.043975815,0.15790473,-0.036177993,-0.023258485,-0.016646761,-0.006258972,0.052480496,-0.03808961,0.012200505,0.14151648,-0.039767332,-0.14550075
