x,y,z,signal,cytoplasm.p
799,489,5,0.122430470207911,1
800,489,5,0.123016174406159,1
800,490,5,0.127706216466841,1
801,485,5,0.125451377495005,1
801,486,5,0.133415706321983,1
801,489,5,0.123795312411351,1
801,490,5,0.127187130550653,1
801,491,5,0.130968200234454,1
802,485,5,0.137944671342461,1
802,486,5,0.144176182103739,1
802,487,5,0.136115310076776,1
802,488,5,0.127862321993459,1
802,489,5,0.124627819315406,1
802,490,5,0.124742942798699,1
802,491,5,0.126080938828772,1
802,492,5,0.127063405749878,1
802,493,5,0.129108494766566,1
803,485,5,0.144624948056668,1
803,486,5,0.147450145422163,1
803,487,5,0.140076504286571,1
803,488,5,0.132129318196804,1
803,489,5,0.126091768342705,1
803,490,5,0.122667749170823,1
803,491,5,0.122244176213251,1
804,486,5,0.146504252069683,1
804,492,5,0.121392765578016,1
804,494,5,0.125576408066819,1
804,497,5,0.123826471223011,1
805,493,5,0.125187923213571,1
805,494,5,0.125446693490638,1
805,495,5,0.125613868122204,1
805,496,5,0.121973138876153,1
805,497,5,0.122802662872056,1
805,498,5,0.13047812879033,1
806,493,5,0.128330914102979,1
806,494,5,0.125123089884582,1
806,495,5,0.123292842132138,1
806,496,5,0.119324136743985,1
806,497,5,0.121811055553681,1
806,498,5,0.130236369475415,1
807,494,5,0.125733471957501,1
808,494,5,0.123475626118411,1
808,495,5,0.123115664575644,1
795,487,6,0.109618148942809,1
795,488,6,0.118617451062097,1
796,487,6,0.113608285747363,1
796,488,6,0.122678878173527,1
797,487,6,0.118347827311996,1
797,488,6,0.125041329450298,1
798,486,6,0.117520663287603,1
798,487,6,0.123606131344945,1
798,488,6,0.12659426258102,1
799,485,6,0.11417935093452,1
799,486,6,0.123723986165823,1
799,487,6,0.127763406842413,1
799,488,6,0.127496370675286,1
799,489,6,0.128051718691779,1
800,485,6,0.120849349194131,1
800,486,6,0.130307635823189,1
800,487,6,0.130543824646977,1
800,488,6,0.127513872799021,1
800,489,6,0.126837986542268,1
801,484,6,0.117535206462287,1
801,485,6,0.129666011081755,1
801,486,6,0.137914890179145,1
801,487,6,0.133146370081101,1
801,488,6,0.127396317466913,1
801,489,6,0.126533454381104,1
801,490,6,0.129887489017148,1
801,492,6,0.133685521744897,1
801,493,6,0.133103806737069,1
802,483,6,0.121979811485955,1
802,484,6,0.130469539452398,1
802,485,6,0.14131576485886,1
