x,y,z,signal,mito.p
21,162,2,0.268070494248697,2
20,162,3,0.30990748188082,2
20,163,3,0.276241825794898,2
21,161,3,0.239458668334145,2
21,162,3,0.327110892574347,2
21,163,3,0.282238511878948,2
22,162,3,0.24758680233491,2
19,162,4,0.212100254295518,2
19,163,4,0.235518223098882,2
20,161,4,0.239508649354548,2
20,162,4,0.335021884715031,2
20,163,4,0.31280539180739,2
20,164,4,0.235900335301515,2
21,161,4,0.277717514244591,2
21,162,4,0.392814382738167,2
21,163,4,0.3521008845934,2
21,164,4,0.234010878432686,2
22,161,4,0.245686816947645,2
22,162,4,0.309927243462402,2
22,163,4,0.272667947298806,2
23,162,4,0.203520477473728,2
19,162,5,0.199075110874485,2
19,163,5,0.232970557174848,2
20,161,5,0.243368964791786,2
20,162,5,0.328891908058665,2
20,163,5,0.331106453543701,2
20,164,5,0.275389887289737,2
21,160,5,0.182192737555173,2
21,161,5,0.303928249112566,2
21,162,5,0.438627452402853,2
21,163,5,0.419342739689142,2
21,164,5,0.288454082799284,2
21,165,5,0.199255862217825,2
22,161,5,0.284960404762414,2
22,162,5,0.386224590115591,2
22,163,5,0.356782094716342,2
22,164,5,0.248279706038112,2
23,162,5,0.239550928304417,2
23,163,5,0.232947191872191,2
19,162,6,0.20112244841238,2
19,163,6,0.237353270845595,2
19,164,6,0.259049697339248,2
20,161,6,0.256238182503553,2
20,162,6,0.33243026752612,2
20,163,6,0.351915234073696,2
20,164,6,0.312645791715851,2
20,165,6,0.256847870869771,2
21,160,6,0.219784918620441,2
21,161,6,0.338496719765887,2
21,162,6,0.478558424892187,2
21,163,6,0.475152837814933,2
21,164,6,0.335501061849369,2
21,165,6,0.232109173622948,2
22,160,6,0.217339075482081,2
22,161,6,0.336208827957791,2
22,162,6,0.468744809346196,2
22,163,6,0.440321201308193,2
22,164,6,0.289835721195033,2
22,165,6,0.202540241787544,2
23,161,6,0.236887213140269,2
23,162,6,0.290212840006373,2
23,163,6,0.281616881770344,2
23,164,6,0.254387188879925,2
24,162,6,0.179876840359113,2
24,163,6,0.215880322166069,2
24,164,6,0.281669029734138,2
24,165,6,0.309031565675956,2
25,165,6,0.249521152617917,2
19,162,7,0.209970243156487,2
19,163,7,0.251463864475969,2
19,164,7,0.263432057704007,2
20,161,7,0.261762380713299,2
20,162,7,0.345416099767581,2
20,163,7,0.383653676657563,2
20,164,7,0.345341669972826,2
20,165,7,0.266257822547875,2
21,160,7,0.261831722901831,2
21,161,7,0.359288942021922,2
21,162,7,0.476559655150744,2
21,163,7,0.483357780537438,2
21,164,7,0.358525094476376,2
21,165,7,0.267155973476236,2
22,160,7,0.262696898604667,2
22,161,7,0.371723216509018,2
22,162,7,0.488114174174576,2
22,163,7,0.453748571819429,2
22,164,7,0.299378233279747,2
22,165,7,0.226213203299143,2
23,161,7,0.272343800831899,2
23,162,7,0.324402472425881,2
23,163,7,0.304671345819764,2
23,164,7,0.272192091240753,2
23,165,7,0.262161899124263,2
23,171,7,0.245677678099429,3
24,162,7,0.197848432484969,2
24,163,7,0.237274836916311,2
24,164,7,0.329462261691578,2
24,165,7,0.372409854919371,2
24,166,7,0.307067867442231,2
25,164,7,0.270456228261671,2
25,165,7,0.323566738888692,2
25,166,7,0.284209676645881,2
26,165,7,0.176015005706127,2
19,162,8,0.209197445192584,2
19,163,8,0.249472113746816,2
19,164,8,0.241813217205267,2
20,161,8,0.255750243380718,2
20,162,8,0.363212075263785,2
20,163,8,0.413960523379011,2
20,164,8,0.351379457320118,2
20,165,8,0.250968270390066,2
21,160,8,0.278031179300528,2
21,161,8,0.358566996566525,2
21,162,8,0.449840489412644,2
21,163,8,0.461264143898608,2
21,164,8,0.355083211097313,2
21,165,8,0.278314907562435,2
22,160,8,0.293179432616964,2
22,161,8,0.38016230688648,2
22,162,8,0.449350289131488,2
22,163,8,0.41269403918154,2
22,164,8,0.288356452577998,2
22,165,8,0.238800482832674,2
22,171,8,0.246142440349466,3
23,161,8,0.295919791626723,2
23,162,8,0.340143361206192,2
23,163,8,0.313485152527848,2
23,164,8,0.274523934313728,2
23,165,8,0.26492253789772,2
23,166,8,0.231635508062019,2
23,170,8,0.261248249839905,3
23,171,8,0.319115907823504,3
23,172,8,0.257935864882223,3
24,162,8,0.215949452371008,2
24,163,8,0.251100194845897,2
24,164,8,0.350535527084013,2
24,165,8,0.416190590773777,2
24,166,8,0.357294812365785,2
24,167,8,0.250586535047153,2
24,170,8,0.235190826216887,3
24,171,8,0.297685049663987,3
25,164,8,0.297429114806451,2
25,165,8,0.399950197987965,2
25,166,8,0.37671839788642,2
25,167,8,0.273418581200409,2
26,165,8,0.210836031256368,2
26,166,8,0.212784890638607,2
19,162,9,0.191076004220452,2
19,163,9,0.223238955725484,2
19,164,9,0.198735890018767,2
20,161,9,0.230923855587732,2
20,162,9,0.357257338377349,2
20,163,9,0.412910121123656,2
20,164,9,0.32696488298647,2
20,165,9,0.219734490079121,2
21,160,9,0.257899238828158,2
21,161,9,0.32455804482916,2
21,162,9,0.400950006825872,2
21,163,9,0.422657126714088,2
21,164,9,0.342911914033775,2
21,165,9,0.27163174794416,2
22,160,9,0.2974113317384,2
22,161,9,0.353306647268441,2
22,162,9,0.371545597812103,2
22,163,9,0.343460433356645,2
