x,y,z,signal,mito.p
460,322,1,0.209397086629403,2
460,323,1,0.192874520128031,2
459,322,2,0.314951819897986,2
459,323,2,0.316536067500852,2
460,321,2,0.257079875135069,2
460,322,2,0.374972689447146,2
460,323,2,0.343733091364269,2
460,324,2,0.221460177845755,2
461,322,2,0.310950158511909,2
461,323,2,0.266304482491992,2
458,322,3,0.262281198779464,2
458,323,3,0.28518199827794,2
459,321,3,0.253427562709693,2
459,322,3,0.41150250296094,2
459,323,3,0.407908297593685,2
459,324,3,0.268179924889973,2
460,320,3,0.15545894494918,2
460,321,3,0.315309035805348,2
460,322,3,0.478133468450105,2
460,323,3,0.434389099558707,2
460,324,3,0.268564204035998,2
461,321,3,0.285810294092846,2
461,322,3,0.393499466602173,2
461,323,3,0.337625985382177,2
461,324,3,0.215170436221721,2
462,322,3,0.236377840120844,2
462,323,3,0.202467154555542,2
457,323,4,0.190213478312524,2
458,322,4,0.301672272612031,2
458,323,4,0.325224803889268,2
458,324,4,0.23768721566523,2
459,321,4,0.266303139929239,2
459,322,4,0.454674704582021,2
459,323,4,0.445595729953253,2
459,324,4,0.283214743430605,2
459,325,4,0.213336778145226,2
460,320,4,0.149225755836921,2
460,321,4,0.329530072887496,2
460,322,4,0.541386970018642,2
460,323,4,0.489458998086401,2
460,324,4,0.284781160857955,2
460,325,4,0.220671222021346,2
460,326,4,0.242471920888854,2
460,327,4,0.217577980991007,2
461,320,4,0.150902016095867,2
461,321,4,0.305294082953796,2
461,322,4,0.467552048331505,2
461,323,4,0.401258278077062,2
461,324,4,0.233428959917106,2
462,321,4,0.196396321321526,2
462,322,4,0.276780428996378,2
462,323,4,0.237196732739283,2
468,328,4,0.29484703687921,3
469,328,4,0.296030140863568,3
470,327,4,0.313631444760515,3
470,328,4,0.282921946981679,3
457,323,5,0.212514799987827,2
458,322,5,0.298526129898458,2
458,323,5,0.338318229580869,2
458,324,5,0.263094344287169,2
459,321,5,0.23177117756132,2
459,322,5,0.417135283877593,2
459,323,5,0.438529233338254,2
459,324,5,0.300460574396396,2
459,325,5,0.237111821533557,2
459,326,5,0.256290848649462,2
459,327,5,0.258502779670189,2
460,320,5,0.133658045874945,2
460,321,5,0.292618123617337,2
460,322,5,0.524459797500082,2
460,323,5,0.508100081505336,2
460,324,5,0.305525521929514,2
460,325,5,0.241625046436184,2
460,326,5,0.299759097134557,2
460,327,5,0.310982144480668,2
460,328,5,0.229064641711456,2
461,321,5,0.289031314122093,2
461,322,5,0.486327764885511,2
461,323,5,0.43765995928596,2
461,324,5,0.250723829753998,2
461,326,5,0.288318177762657,2
461,327,5,0.293516486529291,2
461,328,5,0.212035834837082,2
462,322,5,0.28197301420601,2
462,323,5,0.247663634610382,2
462,327,5,0.234921795484071,2
467,328,5,0.296984914964902,3
468,327,5,0.221212157042345,3
468,328,5,0.309344217921394,3
468,329,5,0.256033853873962,3
469,327,5,0.302969447322972,3
469,328,5,0.348215131125042,3
469,329,5,0.260827485962211,3
470,326,5,0.215605497215054,3
470,327,5,0.335196135228197,3
470,328,5,0.347300139277931,3
470,329,5,0.236519256730879,3
471,327,5,0.258992155570707,3
471,328,5,0.251700131966853,3
457,322,6,0.180324420161279,2
457,323,6,0.246713783239145,2
457,324,6,0.248715497197153,2
457,325,6,0.222022428994682,2
458,321,6,0.1618703651554,2
458,322,6,0.293103660259455,2
458,323,6,0.392009104177123,2
458,324,6,0.352012911402447,2
458,325,6,0.284468437951319,2
458,326,6,0.263100350488961,2
458,327,6,0.254687616738187,2
459,321,6,0.217836341882993,2
459,322,6,0.404641394893494,2
459,323,6,0.504989858233853,2
459,324,6,0.401597169180525,2
459,325,6,0.31090797377697,2
459,326,6,0.336253627157039,2
459,327,6,0.366578115624142,2
459,328,6,0.288962136809688,2
460,320,6,0.141592674186211,2
460,321,6,0.288585418411802,2
460,322,6,0.529120751413059,2
460,323,6,0.575735660793842,2
460,324,6,0.382179354324357,2
460,325,6,0.291403339862742,2
460,326,6,0.375078751904673,2
460,327,6,0.440560648552967,2
460,328,6,0.336773575802365,2
460,329,6,0.184646070780474,2
461,321,6,0.29056440301793,2
461,322,6,0.493710823665547,2
461,323,6,0.470340103649613,2
461,324,6,0.285963157816886,2
461,325,6,0.248064095170646,2
461,326,6,0.35823239224238,2
461,327,6,0.413554409922943,2
461,328,6,0.305518879776944,2
461,329,6,0.169773513903156,2
462,322,6,0.263735005811648,2
462,323,6,0.238869942789868,2
462,324,6,0.18025211020245,2
462,326,6,0.307012916584268,2
462,327,6,0.322431378320146,2
462,328,6,0.232155056293892,2
463,327,6,0.206265241031469,2
467,328,6,0.257849257807756,3
467,329,6,0.250988644368694,3
468,327,6,0.209129469120538,3
468,328,6,0.318489708290791,3
468,329,6,0.308696184078638,3
468,330,6,0.199931807233615,3
469,326,6,0.164594283659862,3
469,327,6,0.298559599752365,3
469,328,6,0.417380855092821,3
469,329,6,0.354821246484252,3
469,330,6,0.205882186679535,3
470,326,6,0.200239254104167,3
470,327,6,0.359579241775202,3
470,328,6,0.449214619632187,3
470,329,6,0.324135961942444,3
470,330,6,0.163586831635753,3
471,327,6,0.282026504732557,3
471,328,6,0.311021573428902,3
471,329,6,0.209545168945742,3
456,324,7,0.186540297280137,2
456,325,7,0.222890007178236,2
456,326,7,0.208872003270389,2
457,322,7,0.17752774417707,2
457,323,7,0.270654715565597,2
457,324,7,0.305491062818841,2
457,325,7,0.287359352419331,2
457,326,7,0.257468229076819,2
457,327,7,0.22245744288055,2
