x,y,z,signal,cytoplasm.p
41,95,33,0.0478720627264286,1
41,96,33,0.0795034943510867,1
41,97,33,0.12098243918483,1
41,98,33,0.108174500765896,1
41,99,33,0.0719784927442051,1
41,100,33,0.0771762031953024,1
41,101,33,0.117408457707698,1
41,102,33,0.113020405795778,1
41,103,33,0.0746310909138567,1
41,104,33,0.0528775799749076,1
41,105,33,0.0464004360163974,1
42,95,33,0.052251339507738,1
42,96,33,0.0909137161249681,1
42,97,33,0.143711627862315,1
42,98,33,0.135754622736643,1
42,99,33,0.0920676755374316,1
42,100,33,0.0770769733911655,1
42,101,33,0.0847744119916361,1
42,102,33,0.0822197730434389,1
42,103,33,0.0732272538449887,1
42,104,33,0.07140325941332,1
42,105,33,0.0750369474630605,1
42,106,33,0.0638272128230102,1
42,107,33,0.045131513201473,1
43,90,33,0.0416329989289475,1
43,95,33,0.0455366074010674,1
43,96,33,0.0592411987224188,1
43,97,33,0.084804051711915,1
43,98,33,0.0862790846648824,1
43,99,33,0.0757911058693178,1
43,100,33,0.079018115546162,1
43,101,33,0.0784247588401628,1
43,102,33,0.0712373159082488,1
43,103,33,0.0722508678241924,1
43,104,33,0.0934251660754294,1
43,105,33,0.12596865979674,1
43,106,33,0.111017318679957,1
43,107,33,0.0636503693405436,1
43,108,33,0.0440079693757349,1
43,109,33,0.0435649631515883,1
44,96,33,0.0433380235676543,1
44,97,33,0.0474296728700514,1
44,98,33,0.0517488105399667,1
44,99,33,0.0587079649076093,1
44,100,33,0.0703484270770318,1
44,101,33,0.0698556140117306,1
44,102,33,0.0622512901983164,1
44,103,33,0.0654113644980989,1
44,104,33,0.0978340339164043,1
44,105,33,0.145421907847266,1
44,106,33,0.134280054762871,1
44,107,33,0.0765936869926158,1
44,108,33,0.0488860904350363,1
44,109,33,0.0475047670099554,1
44,110,33,0.0490941740312883,1
44,111,33,0.0545026984797213,1
45,97,33,0.0430447757878975,1
45,98,33,0.0444602589635661,1
45,99,33,0.047014803293904,1
45,100,33,0.0518962413850169,1
45,101,33,0.0512658161050972,1
45,102,33,0.0485816480108363,1
45,103,33,0.0506562662283146,1
45,104,33,0.0643751259228539,1
45,105,33,0.088563570701103,1
45,106,33,0.0855139289600029,1
45,107,33,0.0592164683173558,1
45,108,33,0.0497981417182188,1
45,109,33,0.0498803943750234,1
45,110,33,0.0515979734519805,1
45,111,33,0.0607064833325072,1
46,96,33,0.0423038179247014,1
46,97,33,0.0434752735310399,1
46,98,33,0.0444937293554644,1
46,99,33,0.0444748760711499,1
46,100,33,0.0449837768759056,1
46,101,33,0.0439239297930726,1
46,102,33,0.0430871510720431,1
46,103,33,0.0437277653437295,1
46,104,33,0.0471497716151958,1
46,105,33,0.050915924668007,1
46,106,33,0.0521279415989592,1
46,107,33,0.0489072740220579,1
46,108,33,0.049687125232176,1
46,109,33,0.0503708392904738,1
46,110,33,0.0521855557651927,1
46,111,33,0.0613680622184551,1
46,112,33,0.0720083325136723,1
47,95,33,0.0435240071353328,1
47,96,33,0.0456420711704508,1
47,97,33,0.0460912410722913,1
47,98,33,0.0475259073430985,1
47,99,33,0.0477679993013634,1
47,100,33,0.047158081766613,1
47,101,33,0.045254529935447,1
47,102,33,0.042934678446774,1
47,103,33,0.0414045806030404,1
47,104,33,0.0423115684790647,1
47,105,33,0.0441191561739245,1
47,106,33,0.0459523258345814,1
47,107,33,0.0459346674386619,1
47,108,33,0.0471544484408145,1
47,109,33,0.0476303600530708,1
47,110,33,0.0492015085309192,1
47,111,33,0.053266221480447,1
47,112,33,0.0591023753992009,1
47,113,33,0.0562238676285983,1
48,94,33,0.0444280564509829,1
48,95,33,0.0467042242256842,1
48,96,33,0.0478747390601642,1
48,97,33,0.0475233932114076,1
48,98,33,0.0490066822484439,1
48,99,33,0.0499353322075214,1
48,100,33,0.0502245006058571,1
48,101,33,0.0486720594304831,1
48,102,33,0.045695954689659,1
48,103,33,0.0431408264319607,1
48,104,33,0.0428827819026118,1
48,105,33,0.0446778557097326,1
48,106,33,0.0463077213277176,1
48,107,33,0.0455185705337105,1
48,108,33,0.0451454003998562,1
48,109,33,0.0461748183791266,1
48,110,33,0.0484577689026586,1
48,111,33,0.0507904235393836,1
48,112,33,0.0537920805089632,1
48,113,33,0.0529366972134208,1
49,92,33,0.0433293511650043,1
49,93,33,0.0462172828743967,1
49,94,33,0.0490552131001811,1
49,95,33,0.0503922067064793,1
49,96,33,0.0500858773318274,1
49,97,33,0.0473462091046473,1
49,98,33,0.0468768234213178,1
49,99,33,0.0483431731581655,1
49,100,33,0.0513533943956988,1
49,101,33,0.0520814923401274,1
49,102,33,0.0497558934923415,1
49,103,33,0.0469997996047807,1
49,104,33,0.0469895862827072,1
49,105,33,0.0491634775582009,1
49,106,33,0.0487396219887839,1
49,107,33,0.0468698000727876,1
49,108,33,0.0457459075126537,1
49,109,33,0.0463585013811396,1
49,110,33,0.0485668659978406,1
49,111,33,0.0512711092984852,1
49,112,33,0.0540488625657318,1
49,113,33,0.0535397968555641,1
50,90,33,0.0421303806851708,1
50,91,33,0.0452009464900213,1
50,92,33,0.0505921802005025,1
50,93,33,0.0552114078730883,1
50,94,33,0.0578648494933716,1
50,95,33,0.0549079386611558,1
50,96,33,0.0516946512772827,1
50,97,33,0.0472242115401867,1
50,98,33,0.0453940480240893,1
50,99,33,0.0472744725470661,1
50,100,33,0.0526284754815822,1
50,101,33,0.0556292673735908,1
50,102,33,0.0531900297733748,1
50,103,33,0.0537258534141627,1
50,104,33,0.0661541363208268,1
50,105,33,0.0779155201144809,1
50,106,33,0.059490487044728,1
50,107,33,0.0482409047690602,1
50,108,33,0.0466615704946955,1
50,109,33,0.0479894213124144,1
50,110,33,0.0497814673480364,1
50,111,33,0.0526428573962013,1
50,112,33,0.0547043372480689,1
50,113,33,0.0542821145125673,1
50,114,33,0.0526902312066872,1
51,88,33,0.0428866531247424,1
51,89,33,0.0444293946178507,1
51,90,33,0.0467205958187168,1
51,91,33,0.0508806727569858,1
51,92,33,0.0601367648711376,1
51,93,33,0.075928664016588,1
51,94,33,0.0825623167279098,1
51,95,33,0.0624861695723325,1
51,96,33,0.0515408512986155,1
51,97,33,0.0478687970585978,1
51,98,33,0.0476842327588094,1
51,99,33,0.0489477542456493,1
51,100,33,0.0538569072594455,1
51,101,33,0.0577905447367513,1
51,102,33,0.0563575112998595,1
51,103,33,0.066601192189353,1
51,104,33,0.108739655943079,1
51,105,33,0.13496462308527,1
51,106,33,0.0896024747966138,1
51,107,33,0.0522724582139418,1
51,108,33,0.04763711306486,1
51,109,33,0.0490924600963506,1
51,110,33,0.0499423771829908,1
51,111,33,0.0528730437243942,1
51,112,33,0.054991726830649,1
51,113,33,0.0552409070182619,1
51,114,33,0.0550993695141647,1
52,88,33,0.0446478996954667,1
52,89,33,0.0460015163079666,1
52,90,33,0.048957962160988,1
52,91,33,0.0556760302230421,1
52,92,33,0.0758778407092875,1
52,93,33,0.112256812637261,1
52,94,33,0.12634875325453,1
52,95,33,0.0845047132453844,1
52,96,33,0.0545081700953584,1
52,97,33,0.0494885574892058,1
52,98,33,0.051789085307635,1
52,99,33,0.0528838409738282,1
52,100,33,0.0559189656319387,1
52,101,33,0.0597143204595084,1
52,102,33,0.0598106738807215,1
52,103,33,0.0718327325802141,1
52,104,33,0.114773690949481,1
