x,y,z,signal,mito.p
384,1019,8,0.160156501362489,1
384,1020,8,0.196485860835692,1
385,1020,8,0.163973760576686,1
390,1020,8,0.170333527447494,1
391,1018,8,0.164230260723802,1
391,1019,8,0.182306878942954,1
383,1020,9,0.130304818745078,1
384,1019,9,0.123597551881571,1
384,1020,9,0.140354383806564,1
385,1019,9,0.136452119171711,1
385,1020,9,0.123326566188956,1
386,1020,9,0.138138554643105,1
388,1020,9,0.127648322799947,1
389,1020,9,0.130247712720589,1
390,1018,9,0.181871747288424,1
390,1019,9,0.186400129017925,1
390,1020,9,0.14587801672673,1
391,1018,9,0.150527358649576,1
391,1019,9,0.174968984445021,1
391,1020,9,0.158721655084982,1
392,1018,9,0.13927105343315,1
392,1021,9,0.147861641418165,1
393,1022,9,0.128887496444564,1
395,1022,9,0.121854092823752,1
396,1020,9,0.113898737227871,1
386,1019,10,0.129581636718724,1
387,1019,10,0.133223691493588,1
388,1019,10,0.126888361620267,1
389,1019,10,0.141573678100936,1
390,1018,10,0.155281585343323,1
390,1019,10,0.152484061424743,1
391,1017,10,0.122846317359789,1
391,1018,10,0.13459248132825,1
391,1019,10,0.157480679579828,1
391,1020,10,0.13309024782201,1
392,1018,10,0.125840726928483,1
392,1019,10,0.179067004150827,1
392,1020,10,0.166754632006376,1
393,1018,10,0.136596597766974,1
393,1021,10,0.148477124002582,1
395,1018,10,0.158632786852193,1
395,1021,10,0.1252030685049,1
396,1019,10,0.138839431284765,1
380,1019,11,0.130404674794086,1
380,1020,11,0.124123789373479,1
381,1019,11,0.13125078375045,1
381,1020,11,0.122791566708551,1
384,1016,11,0.155070331916372,1
384,1017,11,0.137540042522967,1
385,1018,11,0.141465342708221,1
388,1018,11,0.148245084406685,1
389,1018,11,0.150898848118843,1
389,1019,11,0.114585929150938,1
390,1018,11,0.147748795485673,1
390,1019,11,0.131011760472861,1
391,1017,11,0.122665766223175,1
391,1018,11,0.13431027228209,1
391,1019,11,0.153355702627155,1
391,1020,11,0.120004053126292,1
392,1018,11,0.122197541574458,1
392,1019,11,0.178048093235849,1
392,1020,11,0.157067193805481,1
393,1018,11,0.125695506390646,1
393,1019,11,0.210985409027995,1
393,1020,11,0.194547895054743,1
394,1018,11,0.149122331397436,1
394,1021,11,0.119495410272574,1
395,1018,11,0.171179954379247,1
395,1019,11,0.229713617703513,1
395,1020,11,0.171064976833962,1
396,1019,11,0.148808583903436,1
380,1018,12,0.133779618465335,1
380,1019,12,0.163146906796656,1
380,1020,12,0.135278472010958,1
381,1018,12,0.129641792951574,1
381,1019,12,0.155103377803094,1
381,1020,12,0.126897641790879,1
384,1016,12,0.114931014886053,1
385,1015,12,0.142294869836892,1
385,1016,12,0.153109884097735,1
385,1017,12,0.161888277768979,1
385,1018,12,0.11859956761,1
386,1018,12,0.138507877168981,1
387,1018,12,0.127071915857777,1
388,1017,12,0.161014340077646,1
388,1018,12,0.116533952375672,1
389,1018,12,0.123723529019941,1
390,1017,12,0.162512204366504,1
390,1018,12,0.131662667870985,1
391,1017,12,0.115815857955542,1
391,1018,12,0.120218768951922,1
391,1019,12,0.129030820906934,1
392,1019,12,0.151256334894129,1
392,1020,12,0.128488248901525,1
393,1019,12,0.169408607702127,1
393,1020,12,0.155659092791248,1
394,1018,12,0.121803593621235,1
394,1019,12,0.189248423006947,1
394,1020,12,0.159406809610187,1
395,1018,12,0.155105179663632,1
395,1019,12,0.196413915959717,1
395,1020,12,0.139994376781899,1
396,1018,12,0.140336035448933,1
396,1019,12,0.13609364313966,1
379,1018,13,0.128058393283078,1
379,1019,13,0.138759690123326,1
380,1017,13,0.125465716176204,1
380,1018,13,0.19605627608517,1
380,1019,13,0.218221327640993,1
380,1020,13,0.148896981061574,1
381,1017,13,0.122556700664752,1
381,1018,13,0.183401185355721,1
381,1019,13,0.200745659353296,1
381,1020,13,0.137138380722344,1
382,1018,13,0.122594622174106,1
382,1019,13,0.127743950953969,1
385,1016,13,0.115951657000372,1
385,1017,13,0.122213911418557,1
386,1015,13,0.137915394804367,1
386,1016,13,0.161158865780374,1
386,1017,13,0.157514490962857,1
386,1018,13,0.116411025445663,1
387,1016,13,0.18320872780732,1
387,1017,13,0.152070434328001,1
388,1016,13,0.163568365509459,1
388,1017,13,0.12752101487569,1
389,1017,13,0.137229239245531,1
390,1017,13,0.147725123984493,1
390,1018,13,0.118456784883478,1
391,1016,13,0.124210325786749,1
392,1019,13,0.129487198028195,1
393,1019,13,0.14030106993301,1
393,1020,13,0.12577132585562,1
394,1019,13,0.149391103039195,1
394,1020,13,0.126995048251705,1
395,1018,13,0.131425964636049,1
395,1019,13,0.159268137009989,1
395,1020,13,0.117859403342501,1
