x,y,z,signal,cytoplasm.p
264,212,12,0.0436061165136647,1
264,213,12,0.0576956673541438,1
264,214,12,0.0422356984727142,1
265,212,12,0.0503653622681019,1
265,213,12,0.0661986661887978,1
265,214,12,0.0483652650766368,1
266,213,12,0.04253189021958,1
264,212,13,0.0523217622287582,1
264,213,13,0.070684682728908,1
264,214,13,0.0515291889716105,1
265,212,13,0.0636565005778286,1
265,213,13,0.0845287515883906,1
265,214,13,0.0622268896040774,1
266,212,13,0.0414629760424552,1
266,213,13,0.0531989508858265,1
264,212,14,0.0488877286756865,1
264,213,14,0.0666815092350924,1
264,214,14,0.0485663469512979,1
265,212,14,0.0611882882857164,1
265,213,14,0.0811912174383721,1
265,214,14,0.059963868305089,1
266,213,14,0.0512747912848971,1
264,213,15,0.047615999765391,1
265,212,15,0.0445651279921195,1
265,213,15,0.0595442732427095,1
265,214,15,0.0449392280843627,1
262,202,24,0.0410160066816861,1
262,203,24,0.0418438967306729,1
261,203,25,0.0416524091069484,1
262,202,25,0.0471538969538629,1
262,203,25,0.0488364079487826,1
263,202,25,0.04133984576705,1
263,203,25,0.042537004990719,1
265,202,25,0.0429252355844122,1
261,203,26,0.0421182371587669,1
262,202,26,0.0461744723480982,1
262,203,26,0.0492155606347143,1
263,202,26,0.0413558551088497,1
263,203,26,0.0435596834750374,1
263,204,26,0.0412639298034535,1
264,202,26,0.045756456052286,1
264,203,26,0.0432633349328618,1
265,201,26,0.0457002097899618,1
265,202,26,0.0583101265461423,1
265,203,26,0.0495213763695584,1
266,202,26,0.0507111554001992,1
266,203,26,0.0421244116499304,1
262,203,27,0.041914933116095,1
264,202,27,0.0484701503253946,1
264,203,27,0.0455661443933847,1
265,201,27,0.0495159263808606,1
265,202,27,0.0647592690250238,1
265,203,27,0.0537736165095556,1
266,201,27,0.0438772561547458,1
266,202,27,0.0581441181602534,1
266,203,27,0.0470206912281221,1
264,202,28,0.0458543341727181,1
264,203,28,0.0441125518473429,1
265,201,28,0.0433068834784631,1
265,202,28,0.0591623144614066,1
265,203,28,0.0500793514029006,1
266,202,28,0.0531399525954793,1
266,203,28,0.0435602133350496,1
265,202,29,0.04561503208962,1
265,203,29,0.0416721788328148,1
287,222,36,0.0435428874533215,1
287,222,37,0.0420471764430381,1
