x,y,z,signal,mito.p
349,34,45,0.142789309789902,1
349,36,45,0.167534319437039,1
350,33,45,0.140263007101262,1
350,34,45,0.182722331453965,1
350,35,45,0.258384516379218,2
350,36,45,0.262441764574037,1
350,37,45,0.151940559046899,1
350,40,45,0.14149377206337,1
350,41,45,0.128230076439399,1
351,34,45,0.193419612382819,1
351,35,45,0.264057479963546,1
351,36,45,0.260836153735777,1
351,40,45,0.189747349946001,1
351,41,45,0.153703815016899,1
351,42,45,0.145639134771537,1
352,42,45,0.171688279257575,1
352,43,45,0.240169637750189,1
353,43,45,0.220833177486137,1
353,44,45,0.213748944910552,1
354,43,45,0.179225179241549,1
354,44,45,0.183333821680721,1
368,48,45,0.194824451205098,1
347,36,46,0.187632790055501,1
347,37,46,0.206973666644401,1
347,38,46,0.154603237846816,1
348,33,46,0.162233681479483,1
348,34,46,0.196928576792093,1
348,35,46,0.172523341513388,1
348,36,46,0.145453201607043,1
348,37,46,0.136329204018568,1
348,41,46,0.130363891506232,1
349,32,46,0.116038099198711,1
349,33,46,0.165676424569784,1
349,34,46,0.193057261761768,1
349,35,46,0.214368148984707,2
349,36,46,0.194180032860283,1
349,37,46,0.130355635922985,1
349,40,46,0.124239143778484,1
349,41,46,0.132244009320118,1
349,42,46,0.133413781891872,1
349,43,46,0.155079082128002,1
350,25,46,0.125153464344218,1
350,26,46,0.197028880362019,1
350,27,46,0.197036770862412,1
350,28,46,0.119815905910941,1
350,32,46,0.118507024994938,1
350,33,46,0.188882609987216,1
350,34,46,0.249907221847613,2
350,35,46,0.33835987257996,2
350,36,46,0.321933169769934,2
350,37,46,0.178821986448313,1
350,39,46,0.118734919133912,1
350,40,46,0.158427245205379,1
350,41,46,0.147301321675303,1
350,42,46,0.122398136937444,1
351,26,46,0.126230859177038,1
351,27,46,0.117765871470673,1
351,33,46,0.146324018428817,1
351,34,46,0.202458109922255,1
351,35,46,0.290266660285175,2
351,36,46,0.291358705539621,1
351,37,46,0.166757128702023,1
351,39,46,0.129317222517481,1
351,40,46,0.189132114675775,1
351,41,46,0.16972728970309,1
351,42,46,0.138503472621,1
351,43,46,0.159426618299234,1
352,35,46,0.145480677036025,1
352,36,46,0.14563893456481,1
352,40,46,0.132709831488118,1
352,41,46,0.133477647837593,1
352,42,46,0.151357533505891,1
352,43,46,0.206093628536346,1
352,44,46,0.217544440475902,1
352,45,46,0.267633266311973,1
353,42,46,0.139941981503913,1
353,43,46,0.207659904641301,1
353,44,46,0.225702935237882,1
353,45,46,0.185670422607664,1
353,46,46,0.191592985095481,1
354,40,46,0.136756409842106,1
354,41,46,0.143186684811206,1
354,42,46,0.131390363169349,1
354,43,46,0.162177270290104,1
354,44,46,0.184252040389187,1
354,45,46,0.121540769296937,1
355,40,46,0.135357647882816,1
355,41,46,0.135265752995399,1
355,44,46,0.118005295161715,1
356,49,46,0.136654457510904,1
367,48,46,0.124908576187233,1
367,49,46,0.122942828778779,1
368,47,46,0.156794217822469,1
368,48,46,0.193194591799212,1
368,49,46,0.161973907363547,1
369,46,46,0.162248791198893,1
369,47,46,0.200144638760644,1
369,48,46,0.174389409525827,1
346,36,47,0.18497072365263,1
346,37,47,0.24199118920817,1
346,38,47,0.234522865916421,1
346,39,47,0.154846960094042,1
347,33,47,0.180102190694975,1
347,34,47,0.238911279590436,1
347,35,47,0.213557193974126,1
347,36,47,0.188237308377431,1
347,37,47,0.212302675072774,1
347,38,47,0.200341571518224,1
347,39,47,0.149339343711987,1
347,40,47,0.128111012321523,1
347,41,47,0.161283794777648,1
348,32,47,0.118059256762913,1
348,33,47,0.17257533637792,1
348,34,47,0.20909486868747,1
348,35,47,0.182610180356583,1
348,36,47,0.154337693066412,1
348,37,47,0.1497393685282,1
348,38,47,0.14379965892311,1
348,39,47,0.132184324161918,1
348,40,47,0.136038362529441,1
348,41,47,0.157258756312047,1
348,42,47,0.195061790390812,1
348,43,47,0.202072865073197,1
349,25,47,0.124406646147283,1
349,26,47,0.160410116177372,1
349,27,47,0.17388133196169,1
349,28,47,0.134533644104421,1
349,32,47,0.134196896390617,1
349,33,47,0.215766274993219,1
349,34,47,0.254078776306339,1
349,35,47,0.241933529670967,2
349,36,47,0.203950686398162,1
349,37,47,0.164252566108497,1
349,38,47,0.145732454659772,1
349,39,47,0.135966664967657,1
349,40,47,0.149681685437264,1
349,41,47,0.152623417083183,1
349,42,47,0.142403158122142,1
349,43,47,0.145374791231492,1
349,44,47,0.122371521219699,1
350,24,47,0.120710382457029,1
350,25,47,0.129088786642659,1
350,26,47,0.168339915973472,1
350,27,47,0.178258333852301,1
350,28,47,0.128907328687344,1
350,32,47,0.128874329908087,1
350,33,47,0.223827233748843,1
350,34,47,0.299639985909215,2
350,35,47,0.355814248293461,2
350,36,47,0.320150340648212,2
350,37,47,0.209492832552087,1
350,38,47,0.146450172220181,1
350,39,47,0.130764505165758,1
350,40,47,0.15923933079512,1
350,41,47,0.156774362025956,1
350,42,47,0.12179555002158,1
350,43,47,0.121580610435491,1
351,22,47,0.121217623863662,1
351,23,47,0.130771182648926,1
351,24,47,0.121573508985137,1
351,26,47,0.116277617104683,1
351,27,47,0.114157498533309,1
351,33,47,0.134258454070551,1
351,34,47,0.191725569055822,1
351,35,47,0.271997702286285,2
351,36,47,0.272578466668972,1
351,37,47,0.16915125962064,1
351,40,47,0.16090220075713,1
351,41,47,0.162428824153392,1
351,42,47,0.123566743599438,1
351,43,47,0.127452697274522,1
351,44,47,0.138489057736699,1
351,45,47,0.177757828813168,1
352,35,47,0.122795405966952,1
352,36,47,0.129296083042547,1
352,40,47,0.126150387849892,1
352,41,47,0.132055814997302,1
352,42,47,0.121694304302353,1
352,43,47,0.147835543882535,1
352,44,47,0.172519019403471,1
352,45,47,0.205909509009256,1
352,46,47,0.294928674116116,1
353,42,47,0.118751748275796,1
353,43,47,0.164111667680576,1
353,44,47,0.19614646332698,1
353,45,47,0.163902027684303,1
353,46,47,0.173456799486792,1
353,47,47,0.174010912821135,1
354,43,47,0.137730450896639,1
354,44,47,0.163091873500628,1
354,45,47,0.119184312573482,1
354,48,47,0.126442395248779,1
355,48,47,0.137006703580704,1
355,49,47,0.192836775271671,1
355,50,47,0.157763536353632,1
356,49,47,0.132950114890396,1
368,47,47,0.126988017462549,1
368,48,47,0.155700241161956,1
368,49,47,0.13500652061531,1
369,46,47,0.144070244202272,1
369,47,47,0.175301480710105,1
369,48,47,0.158569297766192,1
370,46,47,0.146424910842056,1
370,47,47,0.140496789673365,1
345,36,48,0.15354478021494,1
345,37,48,0.190782053638632,1
345,38,48,0.200458869106161,1
345,39,48,0.142371242814581,1
346,33,48,0.153322703847898,1
346,34,48,0.188569439559662,1
346,35,48,0.182655356415552,1
346,36,48,0.179920026127684,1
346,37,48,0.234033136709915,1
346,38,48,0.264715783233681,1
346,39,48,0.180686287930813,1
346,40,48,0.125557375526296,1
346,41,48,0.151059001723097,1
347,33,48,0.16209565660693,1
347,34,48,0.207419703677086,1
347,35,48,0.19862598830284,1
347,36,48,0.178815250080813,1
347,37,48,0.195112890213509,1
347,38,48,0.221202829764268,1
347,39,48,0.18459555980109,1
347,40,48,0.153785487584404,1
347,41,48,0.207513023565321,1
347,42,48,0.312676435121856,3
347,43,48,0.282471552508477,1
